TR1,1837024.450,548163.160,0.000,,
T1,1837133.651,548070.621,6.574,,
1,1837094.926,548101.651,2.645,,
2,1837092.597,548096.274,3.622,,
3,1837088.523,548095.343,3.284,,
4,1837059.106,548129.587,0.968,,
5,1837057.340,548130.937,0.773,,
6,1837051.657,548121.899,2.057,,
7,1837050.258,548123.125,1.910,,
8,1837030.728,548148.910,0.773,,
9,1837024.451,548154.846,0.227,,
10,1837023.095,548160.086,-0.169,,
11,1837026.404,548161.938,-0.178,,
12,1837033.961,548151.141,0.241,,
13,1837036.056,548153.917,0.167,,
14,1837063.019,548133.334,1.107,,
15,1837060.332,548130.934,1.089,,
16,1837009.164,548167.924,0.242,,
17,1837000.981,548133.083,2.950,,
18,1836992.343,548125.350,3.003,,
19,1836984.855,548114.033,4.780,,
20,1837006.863,548126.486,2.875,,
21,1837013.321,548085.671,5.530,,
22,1837015.550,548083.552,5.589,,
23,1836980.374,548114.182,4.766,,
24,1836991.566,548124.762,3.651,,
TR2,1837112.490,547094.374,0.000,,HS-DOAN
T2,1837067.949,547088.835,1.443,,HS-DOAN
25,1837077.506,547088.810,0.482,,
26,1837077.245,547091.795,0.541,,
27,1837086.721,547093.238,0.138,,
28,1837087.122,547090.150,0.114,,
29,1837087.101,547089.730,0.113,,
30,1837086.733,547092.709,0.247,,
31,1837105.890,547096.117,-0.155,,
32,1837106.372,547093.066,-0.221,,
33,1837109.528,547097.229,-0.204,,
34,1837113.361,547120.433,0.877,,
35,1837115.477,547131.470,1.637,,
36,1837127.924,547098.928,0.098,,
37,1837128.344,547095.908,-0.058,,
38,1837136.146,547096.725,-0.063,,
39,1837146.305,547097.812,0.218,,
40,1837146.064,547100.829,0.337,,
41,1837145.906,547102.047,-0.155,,
42,1837142.672,547101.512,-0.110,,
43,1837142.776,547097.741,0.274,,HS-DOAN
44,1837145.886,547114.975,0.975,,
45,1837143.284,547117.421,1.302,,
46,1837146.121,547129.641,1.909,,
47,1837143.639,547131.847,2.277,,
48,1837146.694,547149.426,2.666,,
49,1837147.009,547150.197,2.686,,HS-DOAN
50,1837149.920,547152.312,2.720,,
51,1837149.358,547156.695,2.884,,
52,1837155.449,547161.267,3.159,,
53,1837153.207,547164.141,2.899,,
54,1837170.981,547190.077,3.025,,
55,1837171.507,547193.146,2.912,,
56,1837167.102,547189.256,2.835,,
57,1837170.826,547190.941,2.723,,
58,1837169.996,547193.425,2.842,,
59,1837162.103,547193.094,2.856,,
60,1837161.324,547190.653,2.862,,
61,1837155.109,547193.572,2.821,,
62,1837154.706,547191.075,2.807,,
63,1837154.590,547190.178,2.085,,
64,1837087.710,547082.698,-0.266,,
65,1837088.239,547076.846,-0.065,,
66,1837086.976,547089.637,-0.170,,
67,1837070.858,547087.686,0.836,,
68,1837074.868,547088.062,0.364,,
69,1837072.725,547091.095,0.605,,
70,1837069.073,547093.285,1.253,,
71,1837058.218,547097.050,1.603,,
72,1837055.600,547081.202,1.075,,
73,1837065.929,547075.205,0.895,,
74,1837069.562,547075.436,0.808,,
75,1837076.986,547075.792,1.313,,
76,1837054.660,547074.477,0.986,,
77,1837075.623,547075.813,0.960,,
78,1837076.907,547075.954,1.461,,
79,1837005.460,546730.780,-3.068,,
80,1837053.750,546994.696,-0.541,,
81,1837048.410,547033.192,-0.081,,
T5,1837042.171,545090.384,0.000,,HS-DOAN
T4,1837023.655,545140.391,-2.794,,HS-DOAN
82,1837011.927,545166.227,-3.719,,
83,1837013.982,545167.372,-3.804,,
84,1837008.914,545164.547,-3.728,,
85,1837018.178,545144.193,-2.980,,
86,1837021.392,545145.584,-3.016,,
87,1837030.514,545130.496,-2.571,,
88,1837029.231,545129.820,-2.516,,
89,1837026.267,545127.926,-2.445,,
90,1837050.195,545145.603,-2.887,,
91,1837068.886,545160.697,-4.602,,
92,1837077.768,545167.823,-5.824,,
93,1837081.857,545172.535,-5.355,,
94,1837092.770,545179.185,-5.209,,
95,1837081.834,545197.578,-6.787,,
96,1837085.149,545171.814,-5.212,,
97,1837100.395,545153.730,-4.812,,
98,1837094.580,545148.043,-4.902,,
99,1837100.339,545137.381,-3.058,,
100,1837083.691,545122.797,-2.835,,
101,1837055.616,545097.493,-0.175,,
102,1837052.291,545095.352,-0.605,,
103,1837049.378,545093.292,-0.599,,
104,1837056.679,545085.540,-0.327,,
105,1837059.150,545088.197,-0.397,,
106,1837069.855,545074.392,-0.193,,
107,1837068.791,545073.182,-0.292,,
108,1837072.180,545077.104,-0.212,,
109,1837056.306,545061.461,-0.102,,
110,1837032.419,545044.573,-4.850,,
111,1837019.958,545035.272,-8.599,,
112,1837002.628,545041.408,-9.668,,
113,1837023.991,545062.101,-5.222,,
114,1837016.767,545072.889,-5.515,,
115,1837030.129,545084.999,-2.720,,
116,1837042.365,545096.140,-0.915,,
117,1837045.390,545098.492,-1.103,,
118,1836567.610,545526.270,4.667,,
119,1836434.383,545458.044,2.083,,HS-DOAN
120,1837034.882,545052.485,-2.545,,
121,1837013.768,545033.646,-5.501,,
122,1837001.389,545020.319,-6.020,,
123,1836428.436,545455.202,1.532,,
124,1836450.512,545464.888,2.069,,
125,1836483.794,545480.792,2.885,,
126,1836524.819,545502.263,3.696,,
127,1836561.154,545522.365,4.432,,
128,1836574.116,545530.071,4.743,,
129,1836566.059,545537.700,4.605,,
130,1836536.797,545521.245,3.941,,
131,1836499.758,545501.362,3.059,,
