TR2,1836707.010,539552.120,0.000,,
T2,1836516.975,539984.236,2.727,,
30,1836691.510,539585.457,-0.360,,
31,1836701.549,539590.754,-0.329,,
32,1836707.091,539578.933,-0.276,,
33,1836719.045,539552.009,-0.197,,
34,1836702.318,539561.916,-0.282,,
35,1836694.014,539580.195,-0.318,,
36,1836687.964,539577.293,0.023,,
37,1836678.760,539573.194,-0.149,,
38,1836669.444,539568.338,0.212,,
39,1836695.526,539558.933,-0.566,,
40,1836698.588,539551.622,-1.009,,
41,1836699.900,539548.902,-1.052,,
42,1836686.596,539547.021,-1.451,,
43,1836687.640,539544.228,-1.441,,
44,1836672.436,539541.991,-1.542,,
45,1836673.364,539539.135,-1.504,,
46,1836665.751,539539.615,-1.635,,1
47,1836666.873,539536.814,-1.611,,1
48,1836656.271,539536.800,-1.739,,2
49,1836656.781,539533.860,-1.740,,2
50,1836652.955,539532.853,-1.805,,2
51,1836651.990,539535.561,-1.782,,2
52,1836656.917,539534.475,-1.747,,TR
53,1836656.916,539534.475,-1.741,,TR
54,1836665.736,539539.610,-1.785,,
55,1836656.020,539536.987,-1.783,,
56,1836651.121,539562.141,-0.741,,
57,1836646.118,539534.497,-1.995,,
58,1836646.435,539531.315,-2.131,,
59,1836637.201,539532.475,-2.382,,
60,1836637.990,539529.240,-2.606,,
61,1836628.749,539529.566,-3.438,,
62,1836629.388,539526.765,-3.091,,
63,1836620.209,539527.298,-4.169,,
64,1836620.759,539524.501,-4.548,,
65,1836585.649,539517.940,-8.016,,
66,1836586.330,539515.999,-8.137,,
67,1836651.412,539561.681,-0.835,,
68,1836641.470,539559.005,-1.195,,
69,1836632.597,539556.543,-1.483,,
70,1836623.854,539554.489,-1.728,,
71,1836615.158,539552.454,-2.169,,
72,1836611.838,539551.675,-2.362,,
73,1836590.522,539542.907,-5.451,,
74,1836464.326,540118.141,5.121,,
75,1836472.632,540096.298,4.913,,
