1,534231.0705,1848345.339
2,534230.0825,1848356.166
3,534225.0457,1848364.923
4,534217.2712,1848371.843
5,534206.2437,1848372.535
6,534197.0808,1848367.614
7,534187.5117,1848363.322
8,534177.886,1848367.615
9,534167.376,1848371.424
10,534176.4065,1848365.892
11,534185.2675,1848359.725
12,534192.5397,1848366.632
13,534197.5584,1848375.646
14,534199.2151,1848386.465
15,534189.1543,1848389.435
16,534178.9126,1848392.191
17,534171.1171,1848398.954
18,534162.841,1848406.189
19,534152.3619,1848404.099
20,534143.6824,1848410.175
21,534140.6277,1848399.999
22,534146.8482,1848391.235
23,534154.7612,1848384.37
24,534159.6491,1848375.354
25,534157.0201,1848365.67
26,534150.4217,1848357.516
27,534148.3481,1848347.324
28,534151.2859,1848337.441
29,534160.4232,1848331.832
30,534155.4917,1848341.427
31,534155.7949,1848351.765
32,534162.5317,1848360.055
33,534166.7173,1848369.883
