 16  29  17.324060 
106  44  32.468167 
 16  28  53.673628 
106  45  29.765262 
 16  27  58.948375 
106  45  15.932519 
 16  30  48.445306 
106  43  33.387823 
 16  30  46.239704 
106  43  28.426673 
 16  30  27.372866 
106  43  27.367352 
 16  30  17.946950 
106  43  25.767050 
 16  30  07.202038 
106  43  24.189522 
 16  30  03.257358 
106  43  33.756181 
 16  29  48.894398 
106  43  37.041514 
 16  29  57.492274 
106  43  35.357808 
 16  31  06.751334 
106  43  44.725702 
 16  29  44.396421 
106  43  44.885483 
 16  29  43.876331 
106  43  59.293593 
 16  29  34.898718 
106  44  03.119277 
 16  29  32.414604 
106  44  06.297154 
 16  29  39.377330 
106  44  58.136778 
 16  29  44.054824 
106  44  55.550607 
 16  29  32.654598 
106  44  37.710562 
 16  29  31.087114 
106  44  31.526576 
 16  29  35.534596 
106  45  43.502745 
 16  29  27.724735 
106  45  38.797165 
 16  29  41.122116 
106  45  18.008913 
 16  29  35.218064 
106  45  05.020644 
 16  29  25.194743 
106  44  48.408087 
 16  29  21.723231 
106  44  40.250120 
 16  29  23.761166 
106  44  13.854737 
 16  29  19.515095 
106  44  19.029751 
 16  29  05.093178 
106  44  04.509183 
 16  29  02.599822 
106  44  01.445308 
 16  28  55.246392 
106  44  08.063839 
 16  28  51.946346 
106  44  12.345699 
 16  29  01.092063 
106  44  07.202128 
 16  28  59.556943 
106  44  09.444274 
 16  29  07.590749 
106  44  24.857578 
 16  29  03.259439 
106  44  26.502304 
 16  29  14.252933 
106  44  31.082688 
 16  29  04.840888 
106  44  36.274009 
 16  29  08.295526 
106  45  09.781006 
 16  29  07.880514 
106  45  13.152164 
 16  29  02.240021 
106  45  27.285875 
 16  29  13.830305 
106  45  39.758668 
 16  29  18.649719 
106  45  43.386920 
 16  28  57.729884 
106  45  40.748208 
 16  28  58.865270 
106  45  45.317297 
 16  28  52.024368 
106  46  04.438445 
 16  28  53.960735 
106  45  59.323786 
 16  28  48.618120 
106  46  05.452257 
 16  28  41.838568 
106  46  05.266366 
 16  28  50.952819 
106  45  29.912798 
 16  28  54.137464 
106  45  24.375106 
 16  28  47.532878 
106  45  18.677121 
 16  28  52.714794 
106  45  14.791175 
 16  28  54.067184 
106  45  10.281257 
 16  28  55.146623 
106  44  53.629895 
 16  28  55.086436 
106  44  47.409933 
 16  28  52.023102 
106  44  37.661734 
 16  28  51.131014 
106  44  32.944746 
 16  28  46.788370 
106  44  17.843804 
 16  28  44.358626 
106  44  13.732980 
 16  28  37.492273 
106  44  04.756678 
 16  28  46.073339 
106  44  39.104418 
 16  28  40.728193 
106  44  42.288198 
 16  28  17.794263 
106  44  25.379634 
 16  28  22.173103 
106  44  32.061817 
 16  28  30.100238 
106  44  54.191009 
 16  28  34.043146 
106  44  41.707828 
 16  28  31.192599 
106  44  39.189836 
 16  28  39.848352 
106  45  40.505812 
 16  28  42.354182 
106  45  43.163355 
 16  28  23.271551 
106  45  44.414890 
 16  28  27.771427 
106  45  43.750189 
 16  28  32.847825 
106  45  27.486342 
 16  28  32.213068 
106  45  32.515503 
 16  28  26.541016 
106  45  00.076288 
 16  28  23.221068 
106  45  03.806032 
 16  28  23.161123 
106  44  57.379674 
 16  28  16.954838 
106  44  59.520044 
 16  28  09.238304 
106  45  02.443195 
 16  28  04.166629 
106  45  04.380088 
 16  27  54.452342 
106  45  13.988346 
 16  28  02.401263 
106  44  58.735147 
 16  27  39.482138 
106  45  24.821734 
 16  27  46.207272 
106  45  20.209615 
 16  27  00.796702 
106  45  42.033482 
 16  27  06.295033 
106  45  29.666739 
 16  26  52.480388 
106  45  50.960692 
 16  26  42.858958 
106  45  55.716949 
 16  27  08.141178 
106  45  33.299942 
 16  27  19.447419 
106  45  39.358060 
 16  27  54.883741 
106  44  55.699454 
 16  27  55.539611 
106  44  50.549214 
 16  27  58.845783 
106  45  14.187121 
 16  28  07.254531 
106  45  24.750841 
 16  28  11.380046 
106  45  22.457820 
