       D184 -1.8192772
       D187 -1.8067606
       D188 -1.7889274
       KV01 -1.8552877
       KV02 -1.8547294
       KV03 -1.8479986
       KV04 -1.8447944
       KV05 -1.8412119
       KV06 -1.8393032
       KV07 -1.8339474
       KV08 -1.8371909
       KV09 -1.8616399
       KV13 -1.8318320
       KV14 -1.8307904
       KV17 -1.8272971
       KV18 -1.8262112
       KV21 -1.8261554
       KV22 -1.8280300
       KV23 -1.8246035
       KV24 -1.8243411
       KV25 -1.8213455
       KV26 -1.8187004
       KV27 -1.8253373
       KV28 -1.8241096
       KV29 -1.8213266
       KV30 -1.8204627
       KV31 -1.8226456
       KV32 -1.8208191
       KV33 -1.8165844
       KV34 -1.8159123
       KV37 -1.8129262
       KV38 -1.8115047
       KV39 -1.8150137
       KV40 -1.8143341
       KV41 -1.8162185
       KV42 -1.8145862
       KV43 -1.8182468
       KV44 -1.8145870
       KV45 -1.8137476
       KV46 -1.8133131
       KV49 -1.8100853
       KV51 -1.8133941
       KV52 -1.8149315
       KV53 -1.8073551
       KV54 -1.8074160
       KV55 -1.8034460
       KV56 -1.8045410
       KV57 -1.8021151
       KV58 -1.7996455
       KV61 -1.8057632
       KV62 -1.8073771
       KV64 -1.8054869
       KV65 -1.8076798
       KV66 -1.8085563
       KV67 -1.8101870
       KV68 -1.8105022
       KV69 -1.8099732
       KV70 -1.8099386
       KV72 -1.8093687
       KV73 -1.8088029
       KV75 -1.8070798
       KV76 -1.8078077
       KV77 -1.8057604
       KV78 -1.7990505
       KV79 -1.8000650
       KV81 -1.8013891
       KV82 -1.8034878
       KV83 -1.8026663
       KV84 -1.8008877
       KV85 -1.8015707
       KV86 -1.7946692
       KV87 -1.7963134
       KV88 -1.7995044
       KV89 -1.7988432
       KV90 -1.7998213
       KV91 -1.7983241
       KV92 -1.7988225
       KV93 -1.7965827
       KV96 -1.7937064
       KV97 -1.7918136
       KV98 -1.7876218
       KV99 -1.7917446
       V100 -1.7816129
       V101 -1.7842790
       V102 -1.7675094
       V103 -1.7705171
       V104 -1.7640055
       V105 -1.7605549
       V106 -1.7707124
       V107 -1.7736747
       V108 -1.7894565
       V109 -1.7900088
       V121 -1.7890645
       V122 -1.7908844
       V123 -1.7925054
