


                            KET QUA TINH TOAN BINH SAI
                          xa A Doi
                            ==========================


                                                                      Bang 1


                 BANG TRI DO GIA SO TOA DO VA CAC CHI TIEU SAI SO

         HE TOA DO VUONG GOC KHONG GIAN        ELLIPSOID QUI CHIEU:WGS-84
=================================================================================
|Lan do| D. dau  D. cuoi |    DX    |    DY    |    DZ    |  RMS | RDOP | RATIO |
 |    KV43    KV39    KV40 | 0.001| 0.001|-0.000| 0.001| 0.001|  1685.5|1: 1191859|
 |    KV43    KV40    KV41 |-0.034|-0.013|-0.018|-0.007| 0.041|  1582.7|1:   38975|
 |    KV43    KV41    KV44 | 0.001| 0.018| 0.007| 0.018| 0.019|   954.3|1:   49345|
 |    KV43    KV44    KV45 | 0.000| 0.001|-0.001| 0.001| 0.001|  2490.1|1: 1760787|
 |    D187    KV49    KV52 | 0.001| 0.004| 0.000| 0.004| 0.004|  1843.4|1:  447102|
 |    D187    KV49    KV51 |-0.000| 0.002|-0.001| 0.002| 0.002|  1479.0|1:  661411|
 |    D187    KV49    KV62 |-0.003| 0.005| 0.000| 0.005| 0.006|   698.5|1:  119793|
 |    D187    KV51    KV52 | 0.001| 0.002| 0.002| 0.002| 0.003|  1745.7|1:  581902|
 |    D187    KV52    KV61 |-0.006| 0.004|-0.002| 0.005| 0.007|  1900.4|1:  253957|
 |    D187    KV61    KV62 | 0.002|-0.003| 0.001|-0.003| 0.004|   435.8|1:  116470|
 |    KV49    KV52    KV51 | 0.000| 0.000|-0.001|-0.000| 0.001|  1398.2|1: 1398211|
 |    KV49    KV52    KV65 | 0.001| 0.001|-0.001| 0.000| 0.002|  2337.4|1: 1349490|
 |    KV49    KV62    KV65 |-0.001| 0.002| 0.001| 0.002| 0.002|  1024.3|1:  418166|
 |    KV52    KV46    KV66 | 0.001| 0.008| 0.008| 0.009| 0.011|  2634.4|1:  231950|
 |    KV52    KV53    KV54 | 0.006|-0.028|-0.004|-0.028| 0.029|  1405.2|1:   48599|
 |    KV52    KV53    KV61 | 0.011|-0.042|-0.008|-0.043| 0.044|  1979.8|1:   44846|
 |    KV52    KV54    KV56 |-0.001| 0.003| 0.001| 0.002| 0.003|  1957.8|1:  590310|
 |    KV52    KV55    KV56 | 0.000| 0.002| 0.000| 0.002| 0.002|  2099.2|1: 1049586|
 |    KV52    KV66    KV65 |-0.018| 0.004|-0.022| 0.004| 0.029|  2549.0|1:   88800|
 |    KV61    KV53    KV89 |-0.003| 0.011| 0.008| 0.012| 0.014|  1787.7|1:  128346|
 |    KV61    KV62    KV64 | 0.000| 0.001| 0.001| 0.001| 0.001|   805.2|1:  569350|
 |    KV61    KV89    KV64 |-0.029| 0.068| 0.040| 0.082| 0.084|  1555.8|1:   18510|
 |    KV62    KV64    KV65 | 0.018|-0.020|-0.026|-0.031| 0.037|   749.2|1:   20024|
 |    D188    V121    KV97 |-0.007| 0.000|-0.006| 0.001| 0.009|   764.4|1:   82909|
 |    D188    V123    KV96 |-0.002| 0.002| 0.003| 0.003| 0.004|  1536.7|1:  372701|
 |    D188    KV96    KV97 |-0.001| 0.003| 0.001| 0.004| 0.003|  1055.1|1:  318130|
 |    V121    KV97    KV99 |-0.000| 0.001| 0.000| 0.001| 0.001|   981.2|1:  981196|
 |    V121    KV99    KV98 | 0.003|-0.002|-0.002|-0.003| 0.004|  1120.9|1:  271857|
 |    V123    KV86    V122 | 0.001|-0.001|-0.003|-0.003| 0.003|  1655.1|1:  499019|
 |    V123    KV86    KV87 | 0.011|-0.009|-0.013|-0.016| 0.019|  1695.2|1:   88010|
 |    V123    KV87    KV89 |-0.006| 0.000| 0.011| 0.005| 0.013|  1874.7|1:  149621|
 |    V123    KV89    KV96 |-0.004| 0.005| 0.004| 0.006| 0.008|  2441.7|1:  323410|
 |    KV01    KV02    KV03 | 0.000| 0.001| 0.001| 0.000| 0.001|  1418.1|1: 1002753|
 |    KV01    KV02    KV09 | 0.001| 0.001|-0.001|-0.000| 0.002|  1612.3|1:  930840|
 |    KV01    KV03    KV09 |-0.006| 0.005|-0.007| 0.004| 0.010|  2645.7|1:  252261|
 |    KV02    KV03    KV04 |-0.002| 0.001| 0.001| 0.002| 0.002|  1750.5|1:  714648|
 |    KV02    KV03    KV09 |-0.007| 0.005|-0.005| 0.004|  0.01|  2693.5|1:  270706|
 |    KV02    KV04    KV05 | 0.001| 0.001|-0.003| 0.000| 0.003|  2417.7|1:  728964|
 |    KV03    KV04    KV06 |-0.001|-0.001|-0.001|-0.000| 0.002|  1569.3|1:  906038|
 |    KV03    KV06    KV09 | 0.008|-0.007|-0.007|-0.011| 0.013|  4062.1|1:  319145|
 |    KV09    KV06    KV14 | 0.002| 0.004| 0.008| 0.006| 0.009|  5534.8|1:  603892|
 |    KV04    KV05    KV06 | 0.001|-0.003| 0.000|-0.003| 0.003|  1153.5|1:  364758|
 |    KV06    KV07    KV08 | 0.000|-0.001|-0.001|-0.001| 0.001|   906.9|1:  641275|
 |    KV06    KV08    KV14 | 0.000| 0.003| 0.001| 0.003| 0.003|  1976.8|1:  625121|
 |    KV07    KV13    KV08 | 0.000| 0.001| 0.000| 0.000| 0.001|  1041.1|1: 1041106|
 |    KV08    KV13    KV14 | 0.013|-0.028| 0.009|-0.027| 0.032|  1750.5|1:   54439|
 |    KV14    KV13    KV17 |-0.003| 0.008|-0.002| 0.008| 0.009|  1340.7|1:  152789|
 |    KV14    KV17    KV18 |-0.001| 0.002| 0.004| 0.002| 0.005|   829.8|1:  181068|
 |    KV14    KV18    KV31 | 0.003|-0.004| 0.000|-0.004| 0.005|  1511.5|1:  302308|
 |    KV14    KV31    KV24 |-0.011| 0.006|-0.002| 0.009| 0.013|  2359.3|1:  185941|
 |    KV14    KV23    KV24 |-0.002| 0.001| 0.000| 0.002| 0.002|  2414.7|1: 1079892|
 |    KV13    KV17    KV34 |-0.005| 0.009|-0.002| 0.009| 0.010|  2984.9|1:  284599|
 |    KV17    KV18    KV34 | 0.000|-0.003| 0.003|-0.003| 0.004|  2045.3|1:  482088|
 |    KV21    KV28    KV29 |-0.016| 0.005| 0.011| 0.012| 0.020|  1345.0|1:   67084|
 |    KV45    KV44    KV68 |-0.003| 0.006|-0.001| 0.006| 0.007|  2224.4|1:  327971|
 |    KV45    KV46    KV67 | 0.001|-0.001|-0.001|-0.000| 0.002|  1426.8|1:  823743|
 |    KV45    KV67    KV68 |-0.001| 0.001| 0.000| 0.000| 0.001|  1589.3|1: 1123790|
 |    KV37    KV38    KV73 | 0.001| 0.003| 0.000| 0.003| 0.003|   774.7|1:  244970|
 |    KV37    KV73    KV75 |-0.002|-0.002|-0.001|-0.003| 0.003|  1274.5|1:  424847|
 |    KV38    KV40    KV72 |-0.001| 0.002| 0.004| 0.003| 0.005|   942.9|1:  205756|
 |    KV38    KV73    KV72 | 0.000| 0.004| 0.004| 0.005| 0.006|   608.2|1:  107515|
 |    KV40    KV41    KV42 | 0.006|-0.006|-0.003|-0.008| 0.009|  1180.7|1:  131188|
 |    KV73    KV72    KV78 | 0.002|-0.002|-0.004|-0.003| 0.005|  1949.4|1:  397914|
 |    KV73    KV78    KV75 | 0.001|-0.001|-0.001|-0.002| 0.002|  2090.4|1: 1206906|
 |    KV41    KV42    KV69 |-0.005| 0.005| 0.003| 0.006| 0.008|  1231.3|1:  160297|
 |    KV41    KV68    KV44 | 0.003|-0.011|-0.001|-0.011| 0.011|  1567.8|1:  136981|
 |    KV41    KV68    KV69 | 0.001|-0.001| 0.007| 0.001| 0.007|  1686.7|1:  236180|
 |    KV42    KV69    KV70 |-0.007| 0.004| 0.003| 0.006| 0.009|  1040.4|1:  120941|
 |    KV42    KV70    KV79 |-0.001| 0.000| 0.001| 0.001| 0.001|  2584.6|1: 1827565|
 |    KV42    KV78    KV79 |-0.003| 0.001| 0.001| 0.003| 0.003|  2913.7|1:  878517|
 |    KV68    KV67    KV81 |-0.021| 0.035| 0.017| 0.043| 0.044|  1749.1|1:   39559|
 |    KV68    KV69    KV76 |-0.011| 0.003| 0.011| 0.009| 0.016|   863.0|1:   54475|
 |    KV68    KV76    KV77 | 0.000| 0.011| 0.001| 0.011| 0.011|  1027.1|1:   92991|
 |    KV68    KV77    KV81 |-0.002|-0.001| 0.000| 0.000| 0.002|  1742.3|1:  779202|
 |    KV69    KV70    KV76 | 0.000|-0.001|-0.001|-0.001| 0.001|   570.8|1:  403649|
 |    KV70    KV76    KV79 | 0.001|-0.001|-0.003|-0.002| 0.003|  1895.3|1:  571452|
 |    KV46    KV66    KV67 | 0.003| 0.009|-0.031|-0.002| 0.032|  1627.1|1:   50191|
 |    KV66    KV65    KV81 | 0.001|-0.002| 0.000|-0.002| 0.002|  1944.3|1:  869523|
 |    KV66    KV67    KV81 | 0.002| 0.000|-0.002|-0.002| 0.003|  2143.6|1:  757876|
 |    KV53    KV54    KV57 | 0.002|-0.005|-0.003|-0.006| 0.006|  1604.3|1:  260247|
 |    KV54    KV57    KV56 | 0.000| 0.002| 0.000| 0.003| 0.002|  1367.7|1:  683838|
 |    KV55    KV56    KV57 | 0.000|-0.001| 0.000|-0.001| 0.001|   517.6|1:  517631|
 |    KV85    KV58    KV84 | 0.001|-0.005|-0.006|-0.007| 0.008|  1504.5|1:  191066|
 |    KV89    KV58    KV84 |-0.001| 0.001| 0.000| 0.002| 0.001|  2087.1|1: 1475774|
 |    KV89    KV58    KV87 |-0.001| 0.001| 0.002| 0.002| 0.002|  2146.8|1:  876424|
 |    KV89    KV64    KV88 |-0.004| 0.008| 0.006| 0.011| 0.011|  1297.0|1:  120425|
 |    KV89    KV88    KV90 |-0.001| 0.001| 0.001| 0.002| 0.002|  1964.2|1: 1134048|
 |    KV89    KV90    KV92 |-0.020| 0.062| 0.031| 0.070| 0.072|  2187.8|1:   30324|
 |    KV89    KV91    KV92 |-0.001| 0.001| 0.000| 0.000| 0.001|  2164.7|1: 1530677|
 |    KV89    KV91    KV96 | 0.001|-0.001|-0.002|-0.002| 0.002|  2465.1|1: 1006381|
 |    KV58    KV86    KV87 | 0.003|-0.002|-0.001|-0.003| 0.004|  1752.6|1:  468410|
 |    KV64    KV65    KV81 | 0.000| 0.000| 0.001|-0.000| 0.001|  2025.9|1: 2025877|
 |    KV64    KV81    KV88 | 0.001|-0.001|-0.003|-0.002| 0.003|  2415.7|1:  728349|
 |    KV81    KV77    KV82 | 0.000|-0.024|-0.001|-0.023| 0.024|  1077.5|1:   44855|
 |    KV81    KV82    KV83 |-0.001| 0.003|-0.001| 0.003| 0.003|   951.4|1:  286853|
 |    KV81    KV83    KV90 |-0.022| 0.006| 0.020| 0.016| 0.030|  1288.4|1:   42478|
 |    KV81    KV90    KV88 | 0.003|-0.004|-0.002|-0.005| 0.005|  2033.2|1:  377550|
 |    KV76    KV77    KV82 |-0.002|-0.015| 0.001|-0.013| 0.015|   773.6|1:   51010|
 |    KV76    KV79    KV83 | 0.021| 0.014|-0.019| 0.002| 0.032|  1571.2|1:   49735|
 |    KV76    KV82    KV83 |-0.003| 0.004|-0.000| 0.005| 0.005|   950.5|1:  190097|
 |    KV79    KV83    KV92 | 0.001|-0.008|-0.003|-0.008| 0.009|  1694.6|1:  196988|
 |    KV79    KV99    KV92 | 0.000| 0.002| 0.001| 0.002| 0.002|  2389.6|1: 1068667|
 |    KV83    KV90    KV92 | 0.000| 0.006| 0.003| 0.005| 0.007|  1360.7|1:  202834|
 |    KV99    KV92    KV93 | 0.002|-0.004|-0.005|-0.005| 0.007|  1289.2|1:  192184|
 |    KV99    KV98    V108 | 0.002| 0.009|-0.023| 0.001| 0.025|  1305.4|1:   52684|
 |    KV99    V109    V108 | 0.016|-0.009|-0.012|-0.017| 0.022|   723.9|1:   33009|
 |    KV92    KV91    KV93 |-0.000|-0.002|-0.001|-0.002| 0.002|   622.7|1:  278482|
 |    KV91    KV93    KV96 |-0.000|-0.001| 0.001| 0.000| 0.001|   915.5|1:  647385|
 |    KV98    V101    V103 | 0.007|-0.001| 0.005|-0.002| 0.009|  3124.6|1:  360793|
 |    KV98    V103    V108 | 0.001|-0.001|-0.001|-0.001| 0.002|  3896.9|1: 2249858|
 |    V101    V100    V106 | 0.000|-0.001| 0.000| 0.000| 0.001|  2477.7|1: 2477732|
 |    V101    V100    V107 | 0.000| 0.000|-0.001| 0.000| 0.001|  2000.0|1: 2000032|
 |    V101    V103    V106 | 0.001| 0.004|  0.01| 0.007| 0.011|  2614.4|1:  241703|
 |    V101    V106    V107 | 0.001| 0.001|-0.000| 0.000| 0.001|  2624.9|1: 1856099|
 |    V103    V105    V106 |-0.001| 0.000| 0.000|-0.001| 0.001|  2202.3|1: 2202255|
 |    V103    V108    V109 | 0.001| 0.004| 0.002| 0.004| 0.005|  3863.4|1:  843057|
 |    V100    V106    V107 | 0.001|-0.000| 0.001| 0.000| 0.001|  2140.0|1: 1513206|
 |    V106    V105    V102 |-0.003| 0.023| 0.009| 0.026| 0.025|  2052.1|1:   82480|
 |    V106    V105    V107 |-0.007| 0.027| 0.009| 0.030| 0.029|  2640.3|1:   90087|
 |    V106    V102    V107 | 0.000|-0.001|-0.001|-0.001| 0.001|  1314.1|1:  929232|
 |    V102    V104    V105 | 0.002|-0.003|-0.001|-0.002| 0.004|  1381.5|1:  369219|
 |    V102    V104    V107 |-0.001|-0.002| 0.000|-0.002| 0.002|  1845.1|1:  825161|
 |    V102    V107    V105 | 0.004|-0.005|-0.001|-0.005| 0.006|  2489.8|1:  384183|
 |    V104    V105    V107 |-0.001| 0.004| 0.000| 0.005| 0.004|  2451.6|1:  594605|
 |      Hinh tu giac                                                              |
 |    D184    KV22    KV23                                                        |
 |    KV32                 |-0.058| 0.208| 0.073| 0.229| 0.228|  2795.5|1:   12264|
 |    D184    KV22    KV29                                                        |
 |    KV26                 | 0.002|-0.003| 0.001|-0.003| 0.004|  5177.6|1: 1383763|
 |    D184    KV22    KV27                                                        |
 |    KV26                 | 0.002| 0.000| 0.001| 0.001| 0.002|  4477.6|1: 2002425|
 |    KV22    KV21    KV28                                                        |
 |    KV27                 |-0.030|-0.032| 0.021|-0.016| 0.049|  1502.8|1:   30902|
 |    KV22    KV29    KV28                                                        |
 |    KV27                 |-0.001| 0.002| 0.002| 0.001| 0.003|  2297.2|1:  765745|
 |    KV22    KV29    KV26                                                        |
 |    KV27                 |-0.000|-0.003| 0.000|-0.004| 0.003|  3528.4|1: 1176121|
 |    KV22    KV27    KV26                                                        |
 |    KV30                 |-0.001| 0.003|-0.001| 0.003| 0.003|  3983.8|1: 1201165|
 |    KV26    KV25    KV52                                                        |
 |    KV46                 | 0.017|-0.005| 0.014|-0.004| 0.023|  2734.1|1:  121070|
 |    KV32    KV24    KV31                                                        |
 |    KV33                 | 0.068|-0.238|-0.068|-0.259| 0.257|  2341.6|1:    9122|
 |    KV43    KV41    KV68                                                        |
 |    KV45                 | 0.001| 0.014| 0.004| 0.014| 0.015|  2989.0|1:  204805|
 |    D187    KV52    KV65                                                        |
 |    KV62                 |-0.002|-0.000|-0.002|-0.001| 0.003|  2486.7|1:  879165|
 |    KV49    KV52    KV61                                                        |
 |    KV62                 | 0.000| 0.000|-0.001| 0.001| 0.001|  2098.3|1: 2098283|
 |    KV52    KV53    KV57                                                        |
 |    KV55                 | 0.003|-0.021|-0.000|-0.020| 0.021|  2582.0|1:  121715|
 |    KV52    KV53    KV57                                                        |
 |    KV56                 | 0.003|-0.018|-0.000|-0.017| 0.018|  2582.5|1:  141519|
 |    KV52    KV54    KV57                                                        |
 |    KV55                 |-0.001| 0.002| 0.001| 0.002| 0.002|  2435.9|1:  994464|
 |    KV52    KV61    KV62                                                        |
 |    KV65                 |-0.002| 0.001| 0.001| 0.003| 0.002|  2590.6|1: 1057621|
 |    KV52    KV61    KV64                                                        |
 |    KV65                 | 0.016|-0.020|-0.026|-0.029| 0.036|  2658.4|1:   72840|
 |    V123    KV86    KV58                                                        |
 |    KV89                 | 0.003|-0.008|-0.003| -0.01| 0.009|  3310.9|1:  365626|
 |    KV02    KV03    KV06                                                        |
 |    KV05                 |-0.001| 0.006|-0.001| 0.005| 0.006|  2865.2|1:  464789|
 |    KV02    KV04    KV06                                                        |
 |    KV09                 | 0.002|-0.004|-0.014|-0.009| 0.015|  4159.4|1:  283014|
 |    KV02    KV05    KV06                                                        |
 |    KV09                 | 0.002|-0.008|-0.011|-0.012| 0.014|  4292.0|1:  312201|
 |    KV06    KV07    KV13                                                        |
 |    KV14                 | 0.013|-0.025| 0.009|-0.025| 0.030|  2122.4|1:   71751|
 |    KV14    KV13    KV34                                                        |
 |    KV18                 | 0.001| 0.004| 0.001| 0.004| 0.004|  3141.4|1:  740435|
 |    KV37    KV38    KV40                                                        |
 |    KV39                 |-0.026| 0.214| 0.031| 0.213| 0.218|   676.6|1:    3107|
 |    KV40    KV42    KV78                                                        |
 |    KV72                 |-0.018| 0.018| 0.005| 0.024| 0.026|  3302.6|1:  127304|
 |    KV42    KV69    KV76                                                        |
 |    KV79                 |-0.007| 0.004| 0.002| 0.006| 0.008|  2705.3|1:  325675|
 |    KV68    KV76    KV82                                                        |
 |    KV81                 | 0.000| 0.001|-0.001| 0.001| 0.001|  1932.6|1: 1366569|
 |    KV68    KV76    KV83                                                        |
 |    KV81                 | 0.002| 0.000|-0.002|-0.001| 0.003|  2068.8|1:  731424|
 |    KV53    KV57    KV58                                                        |
 |    KV85                 |-0.177|-0.088|-0.006|-0.033| 0.198|  2129.7|1:   10769|
 |    KV53    KV57    KV58                                                        |
 |    KV89                 |  0.01| 0.022|-0.002| 0.018| 0.024|  2832.6|1:  116816|
 |    KV53    KV85    KV58                                                        |
 |    KV89                 | 0.187| 0.110| 0.004| 0.051| 0.217|  2973.3|1:   13702|
 |    KV53    KV85    KV84                                                        |
 |    KV89                 | 0.185| 0.116| 0.010| 0.060| 0.219|  1745.2|1:    7984|
 |    KV89    KV64    KV81                                                        |
 |    KV90                 |-0.001| 0.004| 0.002| 0.006| 0.005|  2711.5|1:  591708|
 |    KV89    KV92    KV93                                                        |
 |    KV96                 | 0.002|-0.001| 0.000| 0.000| 0.002|  2670.4|1: 1194240|
 |    KV81    KV77    KV76                                                        |
 |    KV83                 | 0.004| -0.01|-0.003|-0.012| 0.011|  1574.7|1:  140846|
 |    KV99    KV93    KV96                                                        |
 |    KV97                 | 0.000| 0.013| 0.027| 0.020| 0.030|  1043.2|1:   34811|
 |    KV99    KV98    V103                                                        |
 |    V109                 |-0.014| 0.013|-0.014| 0.013| 0.024|  4295.6|1:  181362|
 |    V101    V103    V105                                                        |
 |    V107                 |-0.006| 0.032| 0.019| 0.036| 0.038|  4541.6|1:  120478|
 ==================================================================================

	   Tong so tam giac :   144
	   ------------------------
	 - Sai so khep tuong doi tam giac lon nhat: 1/    18510
	     ( Tam giac :     KV61-    KV89-    KV64, [S] =   1555.8m )
	 - Sai so khep tuong doi tam giac nho nhat: 1/  2480593
	     ( Tam giac :     KV26-    KV29-    KV30, [S] =   3508.1m )
	 - Sai so khep chenh cao tam giac nho nhat:   0.000m
	     ( Tam giac :     KV22-    KV29-    KV30, [S] =   1704.8m )
	 - Sai so khep chenh cao tam giac lon nhat:   0.082m
	     ( Tam giac :     KV61-    KV89-    KV64, [S] =   1555.8m )


	   Tong so tu giac :    38
	   ------------------------
	 - Sai so khep tuong doi tu giac lon nhat: 1/     3107
	     ( Tu giac:   KV37-   KV38-   KV40-   KV39, [S] =    676.6m )
	 - Sai so khep tuong doi tu giac nho nhat: 1/  2098283
	     ( Tu giac:   KV49-   KV52-   KV61-   KV62, [S] =   2098.3m )
	 - Sai so khep chenh cao tu giac nho nhat:   0.000m
	     ( Tu giac :    KV89-   KV92-   KV93-   KV96, [S] =   2670.4m )
	 - Sai so khep chenh cao tu giac lon nhat:   0.259m
	     ( Tu giac :    KV61-   KV89-   KV64-   KV33, [S] =   2341.6m )



                                                                      Bang 3.1

	      BANG TRI DO, SO HIEU CHINH VA TRI BINH SAI GOC PHUONG VI

           HE TOA DO TRAC DIA                        ELLIPPSOID:WGS-84
     ==========================================================================
     | STT |     Ki hieu goc    |    Tri do    |S.s do | So h/c|   Tri b.sai  |
     |     |                    |   o  '   "   |   "   |   "   |   o  '   "   |
     ==========================================================================
     |   1 |     D184      KV22 |  39 39 30.13 |  0.23 |  0.08 |  39 39 30.21 |
     |   2 |     D184      KV30 |  59 29 39.14 |  1.19 |  1.12 |  59 29 40.26 |
     |   3 |     D184      KV26 |  80 37 38.23 |  0.14 | -0.19 |  80 37 38.04 |
     |   4 |     KV30      KV22 |  33 19 31.50 |  0.30 | -0.01 |  33 19 31.49 |
     |   5 |     KV30      KV26 |  83 47 35.82 |  0.14 |  0.09 |  83 47 35.91 |
     |   6 |     KV22      KV29 | 199 55 49.86 |  0.40 | -0.06 | 199 55 49.80 |
     |   7 |     KV29      KV30 | 246 03 35.63 |  0.92 | -0.00 | 246 03 35.62 |
     |   8 |     KV29      KV26 |  86 52 43.03 |  0.16 |  0.02 |  86 52 43.05 |
     |   9 |     KV28      KV29 | 237 50 18.24 |  0.42 |  0.06 | 237 50 18.30 |
     |  10 |     KV26      KV27 | 303 35 55.20 |  0.33 | -0.01 | 303 35 55.19 |
     |  11 |     KV26      KV28 | 282 48 23.07 |  0.24 | -0.04 | 282 48 23.03 |
     |  12 |     KV27      KV28 | 244 37 46.30 |  0.71 |  0.09 | 244 37 46.39 |
     |  13 |     KV27      KV22 | 277 34  0.47 |  0.36 | -0.16 | 277 34  0.32 |
     |  14 |     KV25      KV26 | 210 01 26.73 |  0.88 |  0.22 | 210 01 26.95 |
     |  15 |     KV25      KV27 | 282 39 17.64 |  0.31 | -0.06 | 282 39 17.59 |
     |  16 |     KV26      KV43 | 258 12 23.72 |  1.38 |  2.42 | 258 12 26.14 |
     |  17 |     KV43      KV44 | 151 50 24.01 |  0.75 |  0.08 | 151 50 24.09 |
     |  18 |     KV44      KV45 |  83 45 34.79 |  0.24 |  0.05 |  83 45 34.84 |
     |  19 |     KV45      KV46 |  97 07 47.63 |  2.42 |  0.24 |  97 07 47.87 |
     |  20 |     KV46      KV26 |  51 07 33.42 |  2.51 |  5.24 |  51 07 38.66 |
     |  21 |     KV46      KV67 | 235 47 53.75 |  0.35 | -0.02 | 235 47 53.73 |
     |  22 |     KV67      KV45 |  49 42  5.85 |  0.39 | -0.06 |  49 42  5.79 |
     |  23 |     KV68      KV45 |  58 23 37.10 |  0.31 | -0.33 |  58 23 36.77 |
     |  24 |     KV68      KV67 |  89 17  2.77 |  1.32 | -0.08 |  89 17  2.69 |
     |  25 |     KV41      KV68 | 119 44 41.14 |  0.73 | -0.67 | 119 44 40.47 |
     |  26 |     KV44      KV41 | 283 52 43.47 |  1.12 | -1.05 | 283 52 42.42 |
     |  27 |     KV26      KV45 | 235 05 42.62 |  2.63 |  5.02 | 235 05 47.64 |
     |  28 |     KV45      KV43 | 278 55 28.33 |  0.22 |  0.18 | 278 55 28.51 |
     |  29 |     KV44      KV68 | 132 05 41.55 |  0.86 | -0.69 | 132 05 40.87 |
     |  30 |     KV41      KV43 |  41 53 57.24 |  2.63 | -3.25 |  41 53 54.00 |
     |  31 |     KV68      KV69 | 251 49 15.69 |  4.20 | -3.97 | 251 49 11.72 |
     |  32 |     KV68      KV76 | 221 30  4.03 |  1.22 | -0.98 | 221 30  3.05 |
     |  33 |     KV68      KV81 | 165 11  8.35 |  0.33 | -0.47 | 165 11  7.88 |
     |  34 |     KV76      KV77 | 149 58 23.38 |  3.39 |  0.57 | 149 58 23.94 |
     |  35 |     KV76      KV82 | 168 03 57.78 |  0.65 |  0.44 | 168 03 58.22 |
     |  36 |     KV76      KV83 | 179 32 32.04 |  0.54 |  0.06 | 179 32 32.10 |
     |  37 |     KV77      KV82 | 184 38 49.31 |  6.20 |  6.19 | 184 38 55.50 |
     |  38 |     KV81      KV83 | 274 10 34.75 |  0.55 | -0.23 | 274 10 34.53 |
     |  39 |     KV82      KV83 | 220 18  2.36 |  2.32 |  1.10 | 220 18  3.46 |
     |  40 |     KV68      KV77 | 198 51  7.87 |  0.52 |  0.04 | 198 51  7.91 |
     |  41 |     KV77      KV81 | 132 38 26.75 |  0.51 |  0.09 | 132 38 26.84 |
     |  42 |     KV40      KV41 |  61 29  4.49 |  1.25 | -2.16 |  61 29  2.33 |
     |  43 |     KV41      KV69 | 141 25 34.48 |  0.42 |  0.37 | 141 25 34.85 |
     |  44 |     KV69      KV76 | 166 41 28.64 |  1.33 |  1.55 | 166 41 30.20 |
     |  45 |     KV76      KV79 | 195 43 56.02 |  0.32 | -0.07 | 195 43 55.95 |
     |  46 |     KV79      KV42 | 352 25 21.39 |  0.19 | -0.08 | 352 25 21.31 |
     |  47 |     KV78      KV79 |  55 40 46.39 |  1.02 |  0.20 |  55 40 46.58 |
     |  48 |     KV40      KV42 |  77 11  3.52 |  1.80 | -1.79 |  77 11  1.72 |
     |  49 |     KV41      KV42 | 159 44 23.76 |  1.74 |  1.13 | 159 44 24.88 |
     |  50 |     KV42      KV78 | 181 13 33.83 |  0.18 |  0.14 | 181 13 33.96 |
     |  51 |     KV42      KV70 | 152 43 29.83 |  0.58 | -0.06 | 152 43 29.77 |
     |  52 |     KV69      KV70 | 258 46 16.36 |  1.72 | -0.11 | 258 46 16.26 |
     |  53 |     KV70      KV76 | 130 15 27.71 |  1.02 |  0.37 | 130 15 28.07 |
     |  54 |     KV70      KV79 | 181 32 45.62 |  0.27 |  0.08 | 181 32 45.70 |
     |  55 |     KV42      KV69 | 136 04 54.72 |  0.96 |  1.53 | 136 04 56.25 |
     |  56 |     KV37      KV38 | 128 29  4.37 |  1.50 | -0.87 | 128 29  3.50 |
     |  57 |     KV38      KV40 | 339 39 54.35 |  0.98 | -0.20 | 339 39 54.15 |
     |  58 |     KV38      KV73 | 169 51 26.00 |  1.03 | -0.24 | 169 51 25.76 |
     |  59 |     KV40      KV72 | 147 27 27.85 |  0.53 |  0.06 | 147 27 27.91 |
     |  60 |     KV72      KV38 | 314 03 31.61 |  1.32 | -1.31 | 314 03 30.30 |
     |  61 |     KV72      KV78 | 165 47  0.00 |  0.33 | -0.25 | 165 46 59.52 |
     |  62 |     KV73      KV72 |  58 22 17.08 |  1.71 |  0.18 |  58 22 17.26 |
     |  63 |     KV73      KV37 | 333 11 21.73 |  0.65 |  0.32 | 333 11 22.06 |
     |  64 |     KV75      KV37 |  10 03  8.45 |  0.45 | -0.27 |  10 03  8.17 |
     |  65 |     KV75      KV73 |  51 27 19.81 |  0.72 |   0.1 |  51 27 19.91 |
     |  66 |     KV78      KV75 | 314 34 19.39 |  0.28 |  0.13 | 314 34 19.53 |
     |  67 |     KV73      KV78 | 156 55 55.25 |  0.28 |  0.03 | 156 55 55.28 |
     |  68 |     KV67      KV81 | 178 37 13.56 |  2.83 |  2.23 | 178 37 15.79 |
     |  69 |     KV66      KV67 | 273 42  2.73 |  4.60 |  3.23 | 273 42  5.96 |
     |  70 |     KV66      KV81 | 212 47 30.26 |  0.28 |  0.06 | 212 47 30.32 |
     |  71 |     KV65      KV66 | 287 07 31.86 |  1.74 | -0.23 | 287 07 31.63 |
     |  72 |     KV65      KV81 | 221 10 17.48 |  0.26 | -0.03 | 221 10 17.45 |
     |  73 |     KV64      KV65 | 323 58  2.29 |  1.24 |  0.62 | 323 58  2.91 |
     |  74 |     KV64      KV81 | 233 26  9.65 |  0.27 |  0.06 | 233 26  9.70 |
     |  75 |     KV88      KV64 | 329 47 40.56 |  0.47 |  0.34 | 329 47 40.90 |
     |  76 |     KV88      KV81 | 264 58 10.64 |  0.25 | -0.08 | 264 58 10.55 |
     |  77 |     KV90      KV88 |  76 26 42.78 |  0.33 | -0.09 |  76 26 42.70 |
