


                            KET QUA TINH TOAN BINH SAI
                          xa A Doi
                            ==========================


                                                                      Bang 1


                 BANG TRI DO GIA SO TOA DO VA CAC CHI TIEU SAI SO

         HE TOA DO VUONG GOC KHONG GIAN        ELLIPSOID QUI CHIEU:WGS-84
=================================================================================
|Lan do| D. dau  D. cuoi |    DX    |    DY    |    DZ    |  RMS | RDOP | RATIO |
| 100-1|    KV26     KV28|   984.867|   203.831|   213.964| 0.006| 3.361| 13.000|
| 100-2|    KV26     KV43|  1904.624|   640.552|  -412.850| 0.007| 4.865|  5.000|
| 100-2|    KV26     KV45|   797.748|   335.571|  -595.875| 0.007| 4.840| 12.000|
| 100-1|    KV27     KV22|   652.120|   144.507|    79.351| 0.008| 4.482| 17.800|
| 100-1|    KV27     KV28|   358.271|   146.284|  -178.399| 0.007| 4.538| 11.400|
| 100-1|    KV28     KV29|   448.380|   219.878|  -297.272| 0.006| 2.355| 24.400|
| 100-1|    KV29     KV26| -1433.248|  -423.710|    83.307| 0.006| 3.210| 16.100|
| 100-1|    KV29     KV30|   224.657|    93.136|  -104.057| 0.005| 2.347| 26.300|
| 100-1|    KV30     KV22|  -379.188|  -314.792|   659.077| 0.007| 3.790| 15.700|
| 100-1|    KV30     KV26| -1657.905|  -516.845|   187.365| 0.007| 3.471| 12.600|
| 099-1|    KV31     KV33|   225.568|   212.465|  -557.495| 0.009| 7.087| 11.800|
| 099-3|    KV32     KV33|   381.907|   225.551|  -430.984| 0.011|12.1265.500|  5.500|
| 099-1|    KV33     KV18|     8.928|  -213.871|   814.541| 0.013|14.3187.500|  7.500|
| 099-3|    KV33     KV37|  -119.871|    32.528|  -296.255| 0.006| 4.040| 21.000|
| 099-3|    KV33     KV39|   -82.119|    -4.294|  -122.491| 0.007| 4.819| 17.200|
| 099-3|    KV33     KV43|  -741.589|  -270.880|   280.105| 0.008| 6.277| 12.700|
| 099-1|    KV34     KV33|   -83.333|   -38.453|    76.141| 0.009| 7.184| 24.000|
| 100-5|    KV37     KV38|  -128.762|   -12.802|   -98.463| 0.008| 6.742| 11.500|
| 100-5|    KV38     KV40|    95.890|   -20.009|   230.141| 0.008| 4.880| 18.700|
| 100-5|    KV38     KV73|   -55.215|    40.716|  -227.010| 0.010| 9.397| 10.300|
| 099-3|    KV39     KV37|   -37.753|    36.824|  -173.764| 0.007| 5.155| 90.400|
| 099-3|    KV39     KV40|   -70.599|     3.799|   -42.117| 0.007| 4.218| 19.900|
| 099-3|    KV39     KV43|  -659.471|  -266.585|   402.595| 0.009| 7.182| 12.100|
| 100-4|    KV40     KV41|  -421.742|  -185.105|   241.039| 0.011|14.3514.600|  4.600|
| 100-4|    KV40     KV42|  -480.594|  -158.818|   114.649| 0.011|12.2616.500|  6.500|
| 099-3|    KV40     KV43|  -588.871|  -270.383|   444.712| 0.009| 6.609| 11.200|
| 100-5|    KV40     KV72|  -265.372|    17.309|  -381.825| 0.012|14.7676.200|  6.200|
| 100-4|    KV41     KV42|   -58.846|    26.281|  -126.393| 0.014|21.9623.400|  3.400|
| 100-2|    KV41     KV43|  -167.163|   -85.291|   203.655| 0.014|16.8064.300|  4.300|
| 100-2|    KV41     KV68|  -670.394|   -93.542|  -370.235| 0.009| 6.780|  5.600|
| 100-4|    KV41     KV69|  -403.263|    22.163|  -458.432| 0.012|16.6715.100|  5.100|
| 100-4|    KV42     KV69|  -344.422|    -4.113|  -332.036| 0.009| 7.429| 11.500|
| 100-4|    KV42     KV70|  -210.309|    35.767|  -360.767| 0.009| 7.393|  4.500|
| 100-4|    KV42     KV78|   -66.870|   337.915| -1356.113| 0.011|11.8477.600|  7.600|
| 100-2|    KV43     KV44|  -169.167|    27.836|  -279.431| 0.005| 2.528| 15.600|
| 100-2|    KV44     KV41|   336.329|    57.437|    75.769| 0.007| 4.178|  7.300|
| 100-2|    KV44     KV45|  -937.707|  -332.818|    96.406| 0.006| 3.468|  7.200|
| 100-2|    KV44     KV68|  -334.068|   -36.094|  -294.465| 0.008| 5.685| 10.200|
| 100-2|    KV45     KV43|  1106.874|   304.983|   183.024| 0.008| 5.468| 10.500|
| 100-2|    KV45     KV46|   -98.410|   -19.967|   -10.570| 0.006| 3.728|  7.600|
| 100-2|    KV46     KV26|  -699.337|  -315.606|   606.445| 0.007| 4.362|  6.000|
| 104-4|    KV46     KV66|    48.096|   135.645|  -408.525| 0.006| 2.882|  5.500|
| 100-2|    KV46     KV67|   524.700|   265.798|  -377.666| 0.007| 4.535|  6.900|
| 101-2|    KV49     KV52|  -434.900|  -212.034|   503.121| 0.008| 5.789| 10.000|
| 101-2|    KV51     KV49|   337.574|   162.012|  -354.479| 0.006| 3.676| 17.600|
| 104-4|    KV52     KV46|   853.848|   274.643|  -340.286| 0.007| 3.805|  4.800|
| 101-2|    KV52     KV51|    97.326|    50.022|  -148.643| 0.006| 4.135| 13.300|
| 101-3|    KV52     KV53|    40.887|   135.658|  -635.731| 0.008| 5.208|  2.600|
| 101-3|    KV52     KV54|   -89.520|    98.690|  -598.681| 0.010| 8.090|  7.200|
| 101-3|    KV52     KV55|  -633.279|   -62.538|  -817.262| 0.013|13.2495.200|  5.200|
| 101-3|    KV52     KV56|  -486.444|   -24.016|  -756.804| 0.013|13.0025.100|  5.100|
| 101-2|    KV52     KV61|   337.769|   264.365|  -841.869| 0.011|10.1705.900|  5.900|
| 104-4|    KV52     KV66|   901.943|   410.280|  -748.819| 0.008| 5.691|  5.500|
| 101-3|    KV53     KV54|  -130.401|   -36.996|    37.046| 0.011|12.1002.800|  2.800|
| 101-3|    KV53     KV57|  -711.460|  -178.662|  -282.008| 0.015|18.5232.800|  2.800|
| 104-3|    KV53     KV85|  -101.080|    87.838|  -459.420| 0.016|33.6544.500|  4.500|
| 101-3|    KV53     KV89|   180.607|   247.076|  -763.446| 0.013|15.9142.500|  2.500|
| 101-3|    KV54     KV57|  -581.057|  -141.671|  -319.057| 0.013|12.7534.500|  4.500|
| 101-3|    KV55     KV56|   146.835|    38.524|    60.458| 0.006| 3.567| 15.500|
| 101-3|    KV56     KV54|   396.925|   122.703|   158.122| 0.009| 6.945|  9.200|
| 101-3|    KV57     KV55|    37.297|   -19.555|   100.477| 0.006| 3.322| 15.600|
| 101-3|    KV57     KV56|   184.132|    18.970|   160.935| 0.008| 5.466|  9.500|
| 104-3|    KV57     KV58|    -9.746|    51.471|  -201.933| 0.006| 2.769| 10.900|
| 101-4|    KV58     KV84|   690.146|   255.249|   -50.394| 0.012|12.93219.600| 19.600|
| 101-4|    KV58     KV85|   619.949|   214.941|    24.515| 0.015|22.5463.100|  3.100|
| 101-4|    KV58     KV86|   545.763|   332.576|  -547.597| 0.014|17.45717.300| 17.300|
| 101-4|    KV58     KV87|   573.381|   309.244|  -412.304| 0.016|21.89119.300| 19.300|
| 101-4|    KV58     KV89|   901.823|   374.289|  -279.507| 0.014|17.02213.600| 13.600|
| 101-3|    KV61     KV53|  -296.893|  -128.665|   206.146| 0.012|14.0133.200|  3.200|
| 101-2|    KV61     KV62|   164.056|    24.854|    95.144| 0.008| 5.135| 66.200|
| 101-3|    KV61     KV89|  -116.283|   118.400|  -557.308| 0.012|11.14326.600| 26.600|
| 101-2|    KV62     KV49|   -66.925|   -77.185|   243.603| 0.006| 2.855| 13.300|
| 101-2|    KV62     KV64|   148.168|    94.135|  -197.711| 0.010|10.64128.400| 28.400|
| 101-2|    KV62     KV65|   267.450|    97.730|   -40.730| 0.009| 6.140| 84.600|
| 101-2|    KV64     KV61|  -312.224|  -118.988|   102.568| 0.010|10.5973.500|  3.500|
| 101-1|    KV64     KV65|   119.300|     3.575|   156.955| 0.017|24.8122.900|  2.900|
| 101-1|    KV64     KV81|   655.281|   342.894|  -517.609| 0.015|19.0484.000|  4.000|
| 101-1|    KV64     KV89|  -428.478|    -0.656|  -454.780| 0.018|25.4972.700|  2.700|
| 101-2|    KV65     KV49|  -334.376|  -174.913|   284.334| 0.009| 7.315| 57.500|
| 101-2|    KV65     KV52|  -769.277|  -386.948|   787.456| 0.013|14.5463.900|  3.900|
| 101-1|    KV65     KV66|   132.684|    23.328|    38.659| 0.016|20.1374.000|  4.000|
| 101-1|    KV65     KV81|   535.981|   339.319|  -674.563| 0.010| 7.224| 10.800|
| 101-1|    KV66     KV67|   476.607|   130.162|    30.828| 0.018|20.6754.000|  4.000|
| 101-1|    KV66     KV81|   403.296|   315.993|  -713.222| 0.012|11.2746.400|  6.400|
| 100-2|    KV67     KV45|  -426.289|  -245.832|   388.235| 0.006| 3.417|  8.100|
| 101-1|    KV67     KV81|   -73.309|   185.831|  -744.052| 0.009| 6.551| 11.900|
| 100-2|    KV68     KV45|  -603.642|  -296.718|   390.870| 0.006| 3.363|  8.200|
| 100-2|    KV68     KV67|  -177.352|   -50.887|     2.635| 0.006| 2.758| 18.700|
| 100-3|    KV68     KV69|   267.132|   115.704|   -88.190| 0.007| 4.527|  8.100|
| 100-3|    KV68     KV76|   213.953|   143.954|  -266.402| 0.007| 4.266|  8.500|
| 100-3|    KV68     KV77|   109.348|   163.839|  -423.209| 0.007| 3.845|  5.100|
| 100-3|    KV68     KV81|  -250.640|   134.909|  -741.434| 0.008| 5.434|  7.200|
| 100-4|    KV69     KV70|   134.106|    39.884|   -28.728| 0.007| 4.258| 22.700|
| 100-4|    KV69     KV76|   -53.190|    28.253|  -178.201| 0.007| 4.842| 20.400|
| 100-4|    KV70     KV76|  -187.296|   -11.632|  -149.474| 0.006| 3.970| 23.600|
| 100-4|    KV70     KV79|   -39.803|   223.230|  -861.713| 0.008| 6.630| 15.500|
| 100-5|    KV72     KV38|   169.481|     2.702|   151.688| 0.013|15.6427.400|  7.400|
| 100-5|    KV72     KV78|  -282.074|   161.770|  -859.644| 0.014|19.5722.500|  2.500|
| 100-5|    KV73     KV37|   183.978|   -27.911|   325.473| 0.012|12.1448.600|  8.600|
| 100-5|    KV73     KV72|  -114.266|   -43.414|    75.326| 0.014|19.7845.000|  5.000|
| 100-5|    KV73     KV78|  -396.342|   118.358|  -784.314| 0.012|12.1689.500|  9.500|
| 100-5|    KV75     KV37|   -65.007|  -124.488|   539.443| 0.009| 7.261| 10.400|
| 100-5|    KV75     KV73|  -248.983|   -96.575|   213.971| 0.010|10.0937.600|  7.600|
| 100-3|    KV76     KV77|  -104.605|    19.896|  -156.806| 0.007| 5.001|  4.400|
| 100-4|    KV76     KV79|   147.494|   234.861|  -712.242| 0.008| 5.996| 18.000|
| 100-3|    KV76     KV82|  -103.914|    77.353|  -354.901| 0.010| 9.629|  3.200|
| 100-3|    KV76     KV83|   -38.483|   119.097|  -440.030| 0.008| 6.065|  6.600|
| 100-3|    KV77     KV81|  -359.990|   -28.931|  -318.225| 0.007| 4.128|  4.400|
| 100-3|    KV77     KV82|     0.689|    57.442|  -198.094| 0.010| 9.404|  4.300|
| 100-5|    KV78     KV75|   645.326|   -21.784|   570.342| 0.010| 8.039| 10.600|
| 100-4|    KV78     KV79|  -183.244|   -78.917|   133.633| 0.005| 2.421| 41.600|
| 100-4|    KV79     KV42|   250.111|  -258.997|  1222.481| 0.011|10.7815.700|  5.700|
| 104-5|    KV79     KV83|  -185.956|  -115.750|   272.193| 0.011|12.9233.300|  3.300|
| 104-5|    KV79     KV99|  -815.511|   -35.681|  -574.455| 0.009| 6.202| 10.700|
| 100-3|    KV81     KV82|   360.679|    86.397|   120.132| 0.011|12.1143.200|  3.200|
| 100-3|    KV81     KV83|   426.108|   128.142|    35.004| 0.008| 6.008|  9.200|
| 101-1|    KV81     KV90|  -174.725|   -25.185|  -106.342| 0.010| 9.429|  8.800|
| 100-3|    KV82     KV83|    65.428|    41.748|   -85.129| 0.011|11.5243.000|  3.000|
| 104-2|    KV83     KV90|  -600.855|  -153.321|  -141.326| 0.011|12.2453.600|  3.600|
| 104-2|    KV83     KV92|  -533.182|  -100.646|  -240.523| 0.012|14.5003.700|  3.700|
| 101-4|    KV84     KV85|   -70.196|   -40.313|    74.903| 0.012|13.6814.600|  4.600|
| 101-4|    KV86     V122|   510.852|   326.454|  -464.594| 0.016|20.04311.800| 11.800|
| 101-4|    KV86     V123|   588.598|   304.168|  -345.274| 0.015|19.6954.100|  4.100|
| 101-4|    KV87     KV86|   -27.621|    23.334|  -135.292| 0.010| 9.111|  7.000|
| 101-4|    KV87     KV89|   328.441|    65.046|   132.799| 0.012|12.2086.500|  6.500|
| 101-4|    KV87     V123|   560.988|   327.493|  -480.579| 0.011| 8.951|  4.400|
| 101-1|    KV88     KV64|   284.015|   -36.971|   436.089| 0.013|15.4023.200|  3.200|
| 101-1|    KV88     KV81|   939.295|   305.924|   -81.517| 0.008| 5.021| 15.600|
| 101-4|    KV89     KV84|  -211.676|  -119.041|   229.113| 0.010| 8.500| 10.200|
| 101-1|    KV89     KV88|   144.467|    37.619|    18.685| 0.006| 3.513| 24.500|
| 101-1|    KV89     KV90|   909.035|   318.361|  -169.173| 0.010| 9.590|  8.200|
| 101-5|    KV89     KV91|   794.260|   315.824|  -266.543| 0.017|21.2446.100|  6.100|
| 101-5|    KV89     KV92|   976.728|   370.980|  -268.398| 0.019|26.1264.300|  4.300|
| 101-5|    KV89     V123|   232.541|   262.447|  -613.367| 0.017|17.4768.700|  8.700|
| 101-1|    KV90     KV88|  -764.567|  -280.743|   187.857| 0.009| 7.219| 11.300|
| 104-4|    KV90     KV92|    67.673|    52.681|   -99.194| 0.006| 3.436| 19.100|
| 101-5|    KV91     KV93|   104.249|    94.748|  -182.935| 0.009| 6.194| 16.600|
| 104-5|    KV92     KV79|   719.139|   216.388|   -31.673| 0.009| 7.646|  8.800|
| 101-5|    KV92     KV91|  -182.467|   -55.157|     1.855| 0.008| 4.706| 21.200|
| 101-5|    KV92     KV93|   -78.218|    39.593|  -181.079| 0.008| 5.410| 17.800|
| 104-5|    KV92     KV99|   -96.372|   180.705|  -606.129| 0.007| 4.888| 12.500|
| 101-5|    KV93     KV96|  -104.530|    46.448|  -225.307| 0.009| 7.525| 12.300|
| 101-6|    KV93     KV99|   -18.152|   141.108|  -425.055| 0.007| 5.147|  3.100|
| 101-5|    KV96     D188|  -413.550|   -14.361|  -298.686| 0.014|15.1915.900|  5.900|
| 101-5|    KV96     KV89|  -793.978|  -457.022|   674.784| 0.020|29.3394.100|  4.100|
