p181  1847404.605 534540.938 540.701
p182  1847405.942 534541.589 540.816
p183  1847407.077 534541.931 540.890
p184  1847408.649 534542.212 540.942
p185  1847410.172 534543.143 541.139
p186  1847411.847 534543.961 541.374
p187  1847413.055 534544.841 541.596
p188  1847414.597 534545.624 541.735
p189  1847416.014 534546.346 541.850
p190  1847417.359 534547.392 541.978
p191  1847418.769 534548.423 542.075
p192  1847420.051 534549.651 542.197
p193  1847421.755 534550.699 542.300
p194  1847423.338 534551.839 542.382
p195  1847424.631 534552.939 542.475
p196  1847425.410 534553.773 542.106
p197  1847426.895 534555.145 542.241
p198  1847428.187 534556.310 542.424
p199  1847429.054 534557.114 542.408
p200  1847429.553 534557.603 542.496
p201  1847429.677 534558.008 542.215
p202  1847429.207 534558.518 542.226
p203  1847428.509 534559.294 542.196
p204  1847422.622 534562.371 541.905
p205  1847421.182 534563.417 541.875
p206  1847420.232 534563.944 541.993
p207  1847420.158 534563.907 541.943
p209  1847420.319 534574.456 542.165
p210  1847419.894 534573.344 542.241
p211  1847419.503 534571.588 542.192
p212  1847419.021 534569.940 542.061
p213  1847419.170 534568.786 542.195
p214  1847419.399 534567.408 542.279
p215  1847419.815 534566.115 542.310
p216  1847420.266 534564.816 542.155
p217  1847421.097 534563.589 542.085
p218  1847422.369 534562.605 542.017
p219  1847423.611 534561.703 542.063
p220  1847425.033 534561.257 542.232
p221  1847426.190 534560.883 542.211
p222  1847427.651 534560.030 542.294
p223  1847429.015 534558.638 542.312
p224  1847430.453 534557.079 542.369
p225  1847432.314 534555.791 542.381
