_____________________________________________________________________________________________________________________________
|Thöa |  DiÖn tÝch |   T©m X    |     T©m Y  |  Lo¹i ®Êt  |        Tªn chñ sö dông         |           §Þa chØ              |
| 386 |  400305.66 |   50168.96 |     1543.0 |          T |                                |                                |
| 387 |  400101.76 |   49726.56 |      146.0 |          T |                                |                                |
| 388 |  400314.35 |   49953.64 |      400.0 |          T |                                |                                |
| 389 |  400181.17 |   49733.58 |      256.0 |          T |                                |                                |
| 390 |  400389.42 |   49855.18 |     3076.0 |          T |                                |                                |
| 391 |  400190.40 |   49791.51 |      350.0 |          T |                                |                                |
| 392 |  400010.05 |   50634.27 |      577.0 |          T |                                |                                |
| 393 |  400006.58 |   50646.05 |      249.0 |          T |                                |                                |
| 394 |  400011.90 |   50617.33 |      577.0 |          T |                                |                                |
| 395 |  400015.61 |   50604.18 |      282.0 |          T |                                |                                |
| 396 |  400016.46 |   50596.81 |      207.0 |          T |                                |                                |
| 397 |  400017.01 |   50585.89 |      577.0 |          T |                                |                                |
| 398 |  400027.60 |   50497.60 |      238.0 |          T |                                |                                |
| 399 |  399991.72 |   50140.57 |      176.0 |          T |                                |                                |
| 400 |  399994.26 |   50128.76 |      182.0 |          T |                                |                                |
| 401 |  400051.00 |   50222.00 |      588.0 |          T |                                |                                |
| 402 |  400088.73 |   49990.70 |      424.0 |          T |                                |                                |
| 403 |  399997.84 |   50261.93 |      167.0 |          T |                                |                                |
| 404 |  399960.28 |   50460.10 |      200.0 |          T |                                |                                |
| 404 |  399959.92 |   50452.86 |      202.9 |          T |                                |                                |
| 405 |  400110.26 |   50046.67 |      249.0 |          T |                                |                                |
| 406 |  400113.16 |   50040.79 |      249.0 |          T |                                |                                |
| 407 |  400115.92 |   50034.17 |      258.0 |          T |                                |                                |
| 408 |  400126.77 |   50013.05 |      553.0 |          T |                                |                                |
| 409 |  400132.94 |   50001.84 |      553.0 |          T |                                |                                |
| 410 |  399960.78 |   50520.58 |      237.0 |          T |                                |                                |
| 411 |  400108.75 |   50511.91 |      560.0 |          T |                                |                                |
| 411 |  399941.16 |   50307.98 |      452.0 |          T |                                |                                |
| 412 |  400035.82 |   50307.02 |      220.0 |          T |                                |                                |
| 413 |  400032.93 |   50544.64 |      112.0 |          T |                                |                                |
| 414 |  399960.35 |   50677.57 |      218.0 |          T |                                |                                |
| 415 |  400059.89 |   50405.77 |      600.0 |          T |                                |                                |
| 416 |  400057.60 |   50393.78 |      600.0 |          T |                                |                                |
| 417 |  400055.44 |   50382.73 |      336.0 |          T |                                |                                |
| 418 |  399967.90 |   50672.25 |      284.0 |          T |                                |                                |
| 419 |  400313.28 |   49888.24 |      375.0 |          T |                                |                                |
| 420 |  399988.94 |   50208.80 |      153.0 |          T |                                |                                |
| 421 |  399990.10 |   50197.86 |      117.0 |          T |                                |                                |
| 422 |  400178.42 |   50018.24 |      520.0 |          T |                                |                                |
| 423 |  400170.75 |   50032.59 |      260.0 |          T |                                |                                |
| 424 |  400166.08 |   50041.11 |      520.0 |          T |                                |                                |
| 425 |  400158.81 |   50051.20 |      460.0 |          T |                                |                                |
| 426 |  400134.36 |   50075.86 |      442.0 |          T |                                |                                |
| 427 |  399952.28 |   50576.05 |      369.0 |          T |                                |                                |
| 428 |  399951.00 |   50584.38 |      154.0 |          T |                                |                                |
| 429 |  399950.31 |   50589.33 |      154.0 |          T |                                |                                |
| 430 |  399949.02 |   50597.33 |      308.0 |          T |                                |                                |
| 431 |  399892.60 |   50251.77 |      490.0 |          T |                                |                                |
| 432 |  399894.68 |   50266.15 |      490.0 |          T |                                |                                |
| 433 |  399896.75 |   50280.00 |      490.0 |          T |                                |                                |
| 434 |  399898.87 |   50293.84 |      490.0 |          T |                                |                                |
| 435 |  399901.10 |   50307.68 |      490.0 |          T |                                |                                |
| 436 |  399919.79 |   50635.41 |      214.0 |          T |                                |                                |
| 437 |  399913.75 |   50638.98 |      247.0 |          T |                                |                                |
| 438 |  399908.18 |   50642.21 |      188.0 |          T |                                |                                |
| 439 |  399903.28 |   50644.88 |       18.0 |          T |                                |                                |
| 440 |  399895.71 |   50648.52 |      371.0 |          T |                                |                                |
| 441 |  399887.58 |   50652.03 |      188.0 |          T |                                |                                |
| 442 |  399882.17 |   50654.44 |      188.0 |          T |                                |                                |
| 443 |  399877.01 |   50656.78 |      188.0 |          T |                                |                                |
| 444 |  399871.95 |   50659.20 |      188.0 |          T |                                |                                |
| 445 |  399824.95 |   50680.94 |     2788.0 |          T |                                |                                |
| 446 |  399784.57 |   50700.79 |      310.0 |          T |                                |                                |
| 447 |  399864.73 |   50303.02 |      490.0 |          T |                                |                                |
| 448 |  399984.93 |   50702.49 |      367.0 |          T |                                |                                |
| 450 |  400000.31 |   50695.45 |      367.0 |          T |                                |                                |
| 451 |  400014.24 |   50688.32 |      367.0 |          T |                                |                                |
| 452 |  400029.31 |   50280.97 |      262.0 |          T |                                |                                |
| 453 |  400267.41 |   50055.62 |      250.0 |          T |                                |                                |
| 454 |  400192.26 |   50087.67 |      472.0 |          T |                                |                                |
| 455 |  400125.33 |   49922.71 |      235.0 |          T |                                |                                |
| 456 |  400132.36 |   49907.08 |      282.0 |          T |                                |                                |
| 457 |  399983.70 |   50665.11 |      280.0 |          T |                                |                                |
| 458 |  399976.11 |   50668.05 |      208.0 |          T |                                |                                |
| 459 |  400057.68 |   50059.09 |      200.0 |          T |                                |                                |
| 460 |  399960.33 |   50466.87 |      169.0 |          T |                                |                                |
| 461 |  399938.20 |   50275.96 |      225.0 |          T |                                |                                |
| 462 |  400351.99 |   49895.35 |     3136.0 |          T |                                |                                |
| 463 |  400013.39 |   49912.15 |      156.0 |          T |                                |                                |
| 464 |  400254.51 |   49862.06 |      310.0 |          T |                                |                                |
| 465 |  400276.94 |   49888.21 |      680.0 |          T |                                |                                |
| 467 |  400272.66 |   49802.36 |      555.0 |          T |                                |                                |
| 468 |  400290.44 |   49783.32 |      614.0 |          T |                                |                                |
| 469 |  400306.28 |   49765.24 |      649.0 |          T |                                |                                |
| 470 |  399886.46 |   49676.55 |      315.0 |          T |                                |                                |
| 471 |  399897.28 |   49664.13 |      309.0 |          T |                                |                                |
| 472 |  399963.48 |   49714.90 |      400.0 |          T |                                |                                |
| 473 |  399948.60 |   49777.03 |     1000.0 |          T |                                |                                |
| 475 |  399975.79 |   49838.59 |      341.0 |          T |                                |                                |
| 476 |  399990.84 |   49856.94 |      297.0 |          T |                                |                                |
| 478 |  400338.42 |   49749.36 |      334.0 |          T |                                |                                |
| 479 |  400313.86 |   49799.86 |      413.0 |          T |                                |                                |
| 480 |  400333.87 |   49820.16 |      542.0 |          T |                                |                                |
| 481 |  400318.89 |   49839.46 |      657.0 |          T |                                |                                |
| 482 |  400265.45 |   49982.40 |      675.0 |          T |                                |                                |
| 483 |  400249.03 |   50006.39 |      430.0 |          T |                                |                                |
| 484 |  400237.94 |   50029.80 |      300.0 |          T |                                |                                |
| 485 |  400260.11 |   50039.39 |      300.0 |          T |                                |                                |
| 486 |  400216.48 |   50055.13 |      562.0 |          T |                                |                                |
| 487 |  399927.41 |   50440.38 |      397.0 |          T |                                |                                |
|1891 |  400400.52 |   49924.68 |     1891.0 |          T |                                |                                |
|2174 |  400217.60 |   50015.54 |     1036.0 |          T |                                |                                |

		 MRFCLEAN Processing Report

INPUT DGN FILE:                                      c:\laobao\dc4.dgn
INPUT FILE SIZE (BYTES):                             635392

FENCE USED: yes
INPUT PARAMETERS:
CURVE_FACTOR:2.000000
DANGLE_FACTOR:1.000000
FILTER_FACTOR:1.000000
FREE_END_FLAG_LEVEL:63
INTERSECTION_FLAG_LEVEL:
SUB_TOL_ELE_FLAG_LEVEL:
REMOVE_DUPLICATES_BY_ATTRIBUTE_OR_GEOMETRY(option):2
USE_CELL_AS_NODE_OR_NON_NODE(option):1
BY_LEVEL(toggle):1
FAST(toggle):0
STROKE_ARC(toggle):0
FUZZY_INTERSECTION(toggle):1
TRUE_INTERSECTION(toggle):1
DEL_SUB_TOL_ELE(toggle):1
LEVEL_1:
LEVEL_2:
LEVEL_3:
LEVEL_4:
LEVEL_5:
LEVEL_6:
LEVEL_7:
LEVEL_8:
LEVEL_9:
LEVEL_10:
LEVEL_11:
LEVEL_12:
LEVEL_13:
LEVEL_14:
LEVEL_15:
LEVEL_16:
LEVEL_17:
LEVEL_18:
LEVEL_19:
LEVEL_20:
LEVEL_21:
LEVEL_22:0.100000
LEVEL_23:
LEVEL_24:
LEVEL_25:
LEVEL_26:
LEVEL_27:
LEVEL_28:
LEVEL_29:
LEVEL_30:
LEVEL_31:
LEVEL_32:
LEVEL_33:
LEVEL_34:
LEVEL_35:
LEVEL_36:
LEVEL_37:
LEVEL_38:
LEVEL_39:
LEVEL_40:
LEVEL_41:
LEVEL_42:
LEVEL_43:
LEVEL_44:
LEVEL_45:
LEVEL_46:
LEVEL_47:
LEVEL_48:
LEVEL_49:
LEVEL_50:
LEVEL_51:
LEVEL_52:
LEVEL_53:
LEVEL_54:
LEVEL_55:
LEVEL_56:
LEVEL_57:
LEVEL_58:
LEVEL_59:
LEVEL_60:
LEVEL_61:
LEVEL_62:
LEVEL_63:

MRFCLEAN IN PROGRESS ......
	 READING DGN FILE
	 PROCESSING LEVEL:                           22
	 INTERSECTION
	 CLUSTERING
	 SPLITTING
	 REMOVING DUPLICATES
	 JOINING ELEMENTS
	 REMOVING DANGLES
	 CONFLATION
	 WRITING TO OUTPUT DGN FILE
OUTPUT DGN FILE:                                     c:\laobao\dc4.dgn
OUTPUT FILE SIZE IN BYTES:636416
                           TOTAL NUMBER OF LINEAR ELEMENTS PROCESSED:           1412
NUMBER OF CROSSOVER INTERSECTIONS FIXED OR FLAGGED:  0
NUMBER OF SUB_TOL_ELEMENTS FIXED OR FLAGGED:         0
NUMBER OF FREE-ENDS FLAGGED:                         13
MRFCLEAN SUCCESSFULLY COMPLETED!
ELAPSED TIME:                                        0 h 0 m 19 s


		 MRFCLEAN Processing Report

INPUT DGN FILE:                                      c:\laobao\dc4.dgn
INPUT FILE SIZE (BYTES):                             635904

FENCE USED: yes
INPUT PARAMETERS:
CURVE_FACTOR:2.000000
DANGLE_FACTOR:1.000000
FILTER_FACTOR:1.000000
FREE_END_FLAG_LEVEL:63
INTERSECTION_FLAG_LEVEL:
SUB_TOL_ELE_FLAG_LEVEL:
REMOVE_DUPLICATES_BY_ATTRIBUTE_OR_GEOMETRY(option):2
USE_CELL_AS_NODE_OR_NON_NODE(option):1
BY_LEVEL(toggle):1
FAST(toggle):0
STROKE_ARC(toggle):0
FUZZY_INTERSECTION(toggle):1
TRUE_INTERSECTION(toggle):1
DEL_SUB_TOL_ELE(toggle):1
LEVEL_1:
LEVEL_2:
LEVEL_3:
LEVEL_4:
LEVEL_5:
LEVEL_6:
LEVEL_7:
LEVEL_8:
LEVEL_9:
LEVEL_10:
LEVEL_11:
LEVEL_12:
LEVEL_13:
LEVEL_14:
LEVEL_15:
LEVEL_16:
LEVEL_17:
LEVEL_18:
LEVEL_19:
LEVEL_20:
LEVEL_21:
LEVEL_22:0.100000
LEVEL_23:
LEVEL_24:
LEVEL_25:
LEVEL_26:
LEVEL_27:
LEVEL_28:
LEVEL_29:
LEVEL_30:
LEVEL_31:
LEVEL_32:
LEVEL_33:
LEVEL_34:
LEVEL_35:
LEVEL_36:
LEVEL_37:
LEVEL_38:
LEVEL_39:
LEVEL_40:
LEVEL_41:
LEVEL_42:
LEVEL_43:
LEVEL_44:
LEVEL_45:
LEVEL_46:
LEVEL_47:
LEVEL_48:
LEVEL_49:
LEVEL_50:
LEVEL_51:
LEVEL_52:
LEVEL_53:
LEVEL_54:
LEVEL_55:
LEVEL_56:
LEVEL_57:
LEVEL_58:
LEVEL_59:
LEVEL_60:
LEVEL_61:
LEVEL_62:
LEVEL_63:

MRFCLEAN IN PROGRESS ......
	 READING DGN FILE
	 PROCESSING LEVEL:                           22
	 INTERSECTION
	 CLUSTERING
	 SPLITTING
	 REMOVING DUPLICATES
	 JOINING ELEMENTS
	 REMOVING DANGLES
	 CONFLATION
	 WRITING TO OUTPUT DGN FILE
OUTPUT DGN FILE:                                     c:\laobao\dc4.dgn
OUTPUT FILE SIZE IN BYTES:635392
                           TOTAL NUMBER OF LINEAR ELEMENTS PROCESSED:           5
NUMBER OF CROSSOVER INTERSECTIONS FIXED OR FLAGGED:  0
NUMBER OF SUB_TOL_ELEMENTS FIXED OR FLAGGED:         0
NUMBER OF FREE-ENDS FLAGGED:                         0
MRFCLEAN SUCCESSFULLY COMPLETED!
ELAPSED TIME:                                        0 h 0 m 3 s

