_____________________________________________________________________________________________________________________________
|Thöa |  DiÖn tÝch |   T©m X    |     T©m Y  |  Lo¹i ®Êt  |        Tªn chñ sö dông         |           §Þa chØ              |
|  87 |  400013.17 |   50375.68 |      373.0 |          T |                                |                                |
|  89 |  399751.52 |   50341.60 |      187.0 |          T |                                |                                |
|  90 |  399751.75 |   50353.49 |      410.0 |          T |                                |                                |
|  91 |  400434.80 |   50428.71 |     5253.0 |          T |                                |                                |
|  91 |  399816.78 |   50343.87 |      524.0 |          T |                                |                                |
|  92 |  399857.81 |   50354.54 |      400.0 |          T |                                |                                |
|  93 |  399897.93 |   50355.50 |      601.0 |          T |                                |                                |
|  94 |  399899.18 |   50341.46 |      588.0 |          T |                                |                                |
|  95 |  399943.55 |   50355.25 |      535.0 |          T |                                |                                |
|  96 |  399943.59 |   50345.23 |      270.0 |          T |                                |                                |
|  97 |  400009.40 |   50346.71 |      371.0 |          T |                                |                                |
|  98 |  400050.80 |   50356.95 |      658.0 |          T |                                |                                |
|  99 |  400360.40 |   50354.28 |     3374.0 |          T |                                |                                |
| 100 |  399752.23 |   50329.55 |      395.0 |          T |                                |                                |
| 101 |  399819.99 |   50328.65 |      485.0 |          T |                                |                                |
| 102 |  399858.63 |   50339.49 |      425.0 |          T |                                |                                |
| 103 |  399859.41 |   50323.54 |      480.0 |          T |                                |                                |
| 104 |  399899.90 |   50327.32 |      568.0 |          T |                                |                                |
| 105 |  399942.40 |   50327.55 |      467.0 |          T |                                |                                |
| 106 |  399943.20 |   50337.90 |      253.0 |          T |                                |                                |
| 107 |  400006.90 |   50327.55 |      425.0 |          T |                                |                                |
| 108 |  400038.07 |   50321.22 |      419.0 |          T |                                |                                |
| 109 |  399747.29 |   50315.99 |      197.0 |          T |                                |                                |
| 110 |  399823.24 |   50314.20 |      400.0 |          T |                                |                                |
| 112 |  400004.93 |   50308.38 |      212.0 |          T |                                |                                |
| 113 |  400005.89 |   50316.01 |      217.0 |          T |                                |                                |
| 114 |  400246.43 |   50309.04 |     6912.0 |          T |                                |                                |
| 116 |  400457.73 |   50313.02 |     9181.0 |          T |                                |                                |
| 117 |  399828.57 |   50294.20 |      455.0 |          T |                                |                                |
| 118 |  399831.57 |   50280.37 |      342.0 |          T |                                |                                |
| 119 |  399939.29 |   50283.37 |      207.0 |          T |                                |                                |
| 120 |  399940.07 |   50293.83 |      445.0 |          T |                                |                                |
| 121 |  400001.96 |   50290.36 |      129.0 |          T |                                |                                |
| 122 |  400003.46 |   50298.64 |      339.0 |          T |                                |                                |
| 123 |  400032.80 |   50294.96 |      500.0 |          T |                                |                                |
| 124 |  400299.20 |   50286.99 |     4182.0 |          T |                                |                                |
| 125 |  399749.94 |   50265.13 |      329.0 |          T |                                |                                |
| 126 |  399865.85 |   50272.02 |     1262.0 |          T |                                |                                |
| 127 |  399936.35 |   50266.23 |      448.0 |          T |                                |                                |
| 128 |  399998.83 |   50268.33 |      176.0 |          T |                                |                                |
| 129 |  400001.08 |   50282.78 |      256.0 |          T |                                |                                |
| 130 |  400027.45 |   50269.80 |      147.0 |          T |                                |                                |
| 131 |  399751.26 |   50256.54 |      276.0 |          T |                                |                                |
| 132 |  399933.80 |   50249.18 |      200.0 |          T |                                |                                |
| 133 |  399934.79 |   50256.11 |      230.0 |          T |                                |                                |
| 134 |  399994.35 |   50240.85 |      215.0 |          T |                                |                                |
| 135 |  399997.03 |   50255.56 |      167.0 |          T |                                |                                |
| 136 |  400026.84 |   50256.56 |      349.0 |          T |                                |                                |
| 137 |  400552.43 |   50243.02 |   119540.0 |          T |                                |                                |
| 138 |  399855.11 |   50227.33 |      529.0 |          T |                                |                                |
| 139 |  399890.05 |   50232.73 |      473.0 |          T |                                |                                |
| 140 |  399932.76 |   50236.17 |      243.3 |          T |                                |                                |
| 141 |  399932.29 |   50228.22 |      233.4 |          T |                                |                                |
| 142 |  399988.23 |   50221.93 |       77.0 |          T |                                |                                |
| 143 |  400025.08 |   50229.86 |      327.0 |          T |                                |                                |
| 144 |  400145.34 |   50240.52 |    14002.0 |          T |                                |                                |
| 145 |  399988.98 |   50215.72 |      164.0 |          T |                                |                                |
| 146 |  399989.90 |   50203.47 |      165.1 |          T |                                |                                |
| 147 |  400298.54 |   50206.94 |     1226.0 |          T |                                |                                |
| 148 |  399989.01 |   50184.89 |      190.0 |          T |                                |                                |
| 149 |  399989.78 |   50191.67 |      209.7 |          T |                                |                                |
| 150 |  400359.68 |   50195.11 |     4181.0 |          T |                                |                                |
| 151 |  399988.33 |   50168.37 |      420.0 |          T |                                |                                |
| 152 |  400018.61 |   50178.17 |      193.0 |          T |                                |                                |
| 153 |  400020.96 |   50171.01 |      164.0 |          T |                                |                                |
| 154 |  400023.85 |   50161.32 |      420.0 |          T |                                |                                |
| 155 |  400088.09 |   50192.51 |     1922.0 |          T |                                |                                |
| 156 |  399987.81 |   50152.94 |      208.0 |          T |                                |                                |
| 157 |  399988.62 |   50146.30 |      187.0 |          T |                                |                                |
| 158 |  400024.87 |   50150.77 |      232.0 |          T |                                |                                |
| 159 |  400027.49 |   50143.95 |      192.0 |          T |                                |                                |
| 160 |  400190.32 |   50162.63 |    28630.0 |          T |                                |                                |
| 161 |  400319.95 |   50138.72 |     3681.0 |          T |                                |                                |
| 162 |  399993.14 |   50134.74 |      176.0 |          T |                                |                                |
| 163 |  400028.16 |   50135.73 |      375.0 |          T |                                |                                |
| 164 |  400033.45 |   50128.95 |      252.0 |          T |                                |                                |
| 165 |  400258.26 |   50122.24 |     1975.0 |          T |                                |                                |
| 166 |  399854.97 |   50114.65 |    25703.0 |          T |                                |                                |
| 167 |  399996.89 |   50119.57 |      358.0 |          T |                                |                                |
| 168 |  399999.45 |   50104.36 |      165.0 |          T |                                |                                |
| 169 |  400000.36 |   50110.90 |      179.0 |          T |                                |                                |
| 170 |  400038.51 |   50117.42 |      233.0 |          T |                                |                                |
| 171 |  400040.75 |   50108.13 |      171.0 |          T |                                |                                |
| 172 |  400089.72 |   50100.35 |      396.0 |          T |                                |                                |
| 173 |  399728.88 |   50080.80 |     8755.0 |          T |                                |                                |
| 174 |  400002.24 |   50099.32 |      146.0 |          T |                                |                                |
| 175 |  400003.71 |   50093.71 |      187.0 |          T |                                |                                |
| 176 |  400005.04 |   50087.55 |      181.0 |          T |                                |                                |
