Pt1,,550955.452,1840951.268,460.243
Pt2,,550955.445,1840951.262,460.247
Pt3,,550945.700,1840959.355,461.081
Pt4,,550945.701,1840959.351,461.087
Pt5,,550965.517,1840943.091,460.154
Pt6,,550965.516,1840943.093,460.151
Pt7,,550924.388,1840892.070,462.227
Pt8,,550924.381,1840892.073,462.212
Pt9,,550915.526,1840902.734,462.520
Pt10,,550904.880,1840910.072,463.213
Pt11,,550904.885,1840910.069,463.214
Pt12,,550184.955,1838017.567,383.529
Pt13,,550184.957,1838017.568,383.524
Pt14,,550184.955,1838017.566,383.526
Pt15,,550142.020,1838027.590,382.833
Pt16,,550142.019,1838027.591,382.831
Pt17,,550142.019,1838027.590,382.829
Pt18,,550140.913,1838025.279,382.803
Pt19,,550134.011,1838008.169,383.173
Pt20,,550134.014,1838008.175,383.175
Pt21,,550131.042,1837997.179,382.786
Pt22,,550131.040,1837997.191,382.792
Pt23,,550487.243,1838088.507,380.765
Pt24,,550487.240,1838088.511,380.766
Pt25,,550487.244,1838088.510,380.758
Pt26,,550495.615,1838087.116,381.432
Pt27,,550495.619,1838087.082,381.438
Pt28,,550495.624,1838087.087,381.435
Pt29,,550532.404,1838080.486,383.428
Pt30,,550532.406,1838080.482,383.430
Pt31,,550532.404,1838080.488,383.426
Pt32,,550529.166,1838123.905,388.557
Pt33,,550529.166,1838123.925,388.558
Pt34,,550514.386,1838120.727,385.070
Pt35,,550514.386,1838120.729,385.068
Pt36,,550493.105,1838124.353,384.912
Pt37,,550493.106,1838124.355,384.914
Pt38,,550511.810,1838103.494,383.513
Pt39,,550511.809,1838103.494,383.514
Pt40,,550509.382,1838084.417,381.805
Pt41,,550509.383,1838084.414,381.807
Pt42,,550499.550,1838113.261,382.410
Pt43,,550499.551,1838113.262,382.407
Pt44,base,550127.066,1838380.558,388.843
Pt45,base,550127.067,1838380.552,388.848
Pt46,baee,550127.065,1838380.549,388.847
Pt47,,551291.170,1838695.086,390.623
Pt48,,551291.168,1838695.085,390.625
Pt49,,551302.564,1838700.423,390.755
Pt50,,551302.564,1838700.428,390.748
Pt51,,551302.558,1838700.436,390.749
Pt52,,551305.991,1838694.493,390.075
Pt53,,551305.992,1838694.495,390.079
Pt54,,549185.005,1840591.683,470.243
Pt55,,549135.074,1840580.141,470.083
Pt56,,549130.345,1840640.598,472.986
Pt57,,549130.346,1840640.605,472.987
Pt58,,549176.830,1840656.734,474.606
Pt59,,549176.838,1840656.725,474.604
