p1  1839624.503 552041.602 411.530
p2  1839624.499 552041.601 411.529
p3  1839624.521 552041.105 411.491
p4  1839624.518 552041.105 411.493
p5  1839624.488 552032.032 412.191
p6  1839624.497 552032.024 412.184
p7  1839655.811 552029.809 412.271
p8  1839655.787 552029.813 412.260
p9  1839657.238 552040.456 412.172
p10  1839657.246 552040.456 412.165
