Pt1,,550528.668,1838252.856,381.452
Pt2,,550528.671,1838252.856,381.440
Pt3,,550528.671,1838252.848,381.464
Pt4,,550546.440,1838206.720,387.503
Pt5,,550546.445,1838206.729,387.505
Pt6,,550546.443,1838206.723,387.496
Pt7,,550554.886,1838209.422,386.081
Pt8,,550554.951,1838209.442,386.733
Pt9,,550554.957,1838209.492,386.740
Pt10,,550554.944,1838209.468,386.739
Pt11,,550553.507,1838218.082,386.442
Pt12,,550553.507,1838218.092,386.429
Pt13,,550570.350,1838222.786,386.689
Pt14,,550570.356,1838222.789,386.689
Pt15,,550570.347,1838222.772,386.682
Pt16,,550568.746,1838228.074,385.984
Pt17,,550568.726,1838228.057,386.013
Pt18,,550568.732,1838228.051,386.023
Pt19,,550549.394,1838223.292,385.528
Pt20,,550549.398,1838223.294,385.533
Pt21,,550550.671,1838218.242,386.225
Pt22,,550550.653,1838218.213,386.138
Pt23,,550550.628,1838218.157,386.050
Pt24,,550543.468,1838216.114,385.573
Pt25,,550543.451,1838216.130,385.566
