p159  1853507.701 537124.348 587.606
p160  1853517.797 537110.777 593.745
p163  1853512.943 537005.199 628.941
p164  1853510.276 536963.204 626.472
p165  1853480.908 536967.921 622.508
p166  1853467.671 536969.158 623.043
p168  1853438.199 536980.420 620.689
p169  1853411.564 537012.186 608.753
p170  1853400.767 537050.106 607.104
p172  1853421.430 537123.394 592.058
p173  1853415.122 537145.191 586.914
p174  1853433.932 536952.977 620.159
p176  1853466.153 536951.173 625.903
p177  1853455.284 536926.027 613.886
p191  1853251.717 536850.560 587.251
p192  1853249.338 536877.733 589.837
p194  1853242.718 536905.457 602.329
p195  1853242.803 536905.467 602.191
p196  1853242.691 536922.549 610.347
p197  1853248.691 536943.469 615.797
p198  1853276.048 536945.423 616.369
p199  1853303.996 536948.736 618.254
p201  1853385.741 536951.664 613.810
p202  1853431.559 536958.258 618.610
p204  1853373.318 536956.970 617.697
p205  1853323.592 536955.900 618.442
p206  1853266.559 536949.560 616.230
p207  1853267.267 536969.463 615.972
p208  1853248.606 536971.202 615.158
p209  1853249.196 536993.961 604.503
p210  1853248.578 537013.955 594.870
p213  1853387.123 536995.897 607.592
p214  1853414.571 536986.512 613.072
p215  1853427.113 536983.405 614.743
p217  1853436.218 536965.012 622.274
p218  1852874.840 536687.251 580.275
p219  1852878.344 536714.155 580.881
p220  1852894.014 536748.597 583.106
p221  1852911.720 536771.815 585.107
p222  1852938.914 536803.448 588.622
p223  1852983.205 536840.641 595.560
p224  1852997.415 536818.222 593.520
p225  1853007.062 536800.481 582.855
p226  1853013.112 536789.957 574.460
p227  1853025.472 536780.131 562.266
p231  1852916.482 536683.016 551.602
p232  1852882.536 536686.206 580.372
p233  1852740.531 536620.670 562.585
p234  1852779.203 536636.942 568.911
p235  1852793.412 536643.312 571.317
p236  1852805.209 536607.629 565.101
p237  1852821.198 536555.892 554.420
p238  1852826.528 536539.346 551.014
p239  1852839.323 536507.213 551.619
p240  1852841.296 536491.205 550.400
p241  1852810.990 536476.871 549.299
p242  1852799.388 536457.407 549.109
p243  1852779.473 536455.099 548.941
p244  1852755.546 536465.124 544.126
p245  1852763.335 536517.659 553.253
p246  1852762.614 536540.118 555.581
p247  1852758.764 536558.406 557.403
p248  1852758.699 536558.337 557.406
p249  1852785.946 536565.677 556.199
p250  1852750.317 536585.792 560.084
