Pt1,,551858.903,1839462.775,408.850
Pt2,,551858.899,1839462.776,408.837
Pt3,,551858.898,1839462.774,408.831
Pt4,,551854.514,1839460.344,408.478
Pt5,,551854.517,1839460.348,408.467
Pt6,,551855.072,1839458.229,408.798
Pt7,,551855.071,1839458.233,408.806
Pt8,,551856.098,1839455.812,408.918
Pt9,,551855.561,1839457.044,408.904
Pt10,,551854.968,1839468.592,408.534
Pt11,,551854.974,1839468.597,408.546
Pt12,,551852.567,1839464.577,408.315
Pt13,,551867.547,1839466.735,408.976
Pt14,,551867.557,1839466.742,408.981
Pt15,,551880.200,1839480.164,408.212
Pt16,,551881.003,1839479.864,408.173
Pt17,,551883.637,1839479.700,408.312
Pt18,,551882.837,1839466.347,409.988
Pt19,,551882.838,1839466.348,409.990
Pt20,,551883.067,1839466.754,409.897
Pt21,,551883.067,1839466.745,409.897
