Pt1,,552757.011,1848630.696,478.740
Pt2,,552757.013,1848630.696,478.731
Pt3,,552757.014,1848630.695,478.728
Pt4,,552756.593,1848630.716,481.211
Pt5,,552756.589,1848630.718,481.203
Pt6,,553211.798,1848483.272,474.488
Pt7,,553211.799,1848483.272,474.489
Pt8,,554184.073,1847063.136,539.121
Pt9,,554184.104,1847063.130,539.079
Pt10,,554184.109,1847063.126,539.041
Pt11,,552544.598,1846849.497,598.147
Pt12,,552544.597,1846849.498,598.149
Pt13,,552544.600,1846849.501,598.153
Pt14,,549738.599,1846060.736,615.350
Pt15,,549738.590,1846060.740,615.325
Pt16,,549738.586,1846060.735,615.326
Pt17,,552144.474,1839535.174,418.789
Pt18,,552144.471,1839535.172,418.794
Pt19,,552144.463,1839535.177,418.803
Pt20,,552157.770,1839539.486,418.843
Pt21,,552157.783,1839539.490,418.855
Pt22,,552157.790,1839539.505,418.833
Pt23,,552204.269,1839523.916,413.090
Pt24,,552204.210,1839523.683,412.986
Pt25,,552204.200,1839523.641,412.957
Pt26,,552204.172,1839523.657,412.978
Pt27,,552201.252,1839517.628,412.749
Pt28,,552201.267,1839517.623,412.739
Pt29,,552201.240,1839517.641,412.719
Pt30,,552176.234,1839524.869,414.534
Pt31,,552176.251,1839524.899,414.515
Pt32,,552176.274,1839524.943,414.554
Pt33,,552176.281,1839524.942,414.563
Pt34,,552171.625,1839535.198,416.283
Pt35,,552171.605,1839535.276,416.272
Pt36,,552171.554,1839535.374,416.135
Pt37,,552171.547,1839535.335,416.144
