T1,1838143.817,549367.199,0.000,,
T2,1838140.280,549339.359,0.968,,
60,1838139.125,549337.701,0.794,,
61,1838139.867,549342.105,0.771,,
62,1838106.844,549344.876,0.919,,
63,1838096.313,549347.796,0.897,,
64,1838097.010,549342.149,-0.250,,
65,1838084.268,549353.646,0.974,,
T15,1838137.563,549312.132,0.714,,
